feature,team_score_importance,opp_score_importance
advanced_ortg,0.3977380574166982,0.007333465749565666
team_vs_opp_homeaway_median_score,0.274837256321369,0.0044577292523735
advanced_ts_pct,0.09252252298271726,0.013094790555120792
team_vs_opp_median_score,0.0408158254182823,0.0008478387785909043
defensive_four_factors_drb_pct,0.028225214783678405,0.0038553513048899327
team_3p_pct,0.013121991403414902,0.011997464106561719
month,0.011392223109401736,0.0056233025093724845
offensive_four_factors_tov_pct,0.010078930329844157,0.031163523681506163
advanced_trb_pct,0.007675473666911417,0.002398190855192705
advanced_ftr,0.007523396582375916,0.002868759724256228
advanced_drtg,0.007370862682484509,0.6827463930188734
day,0.006327130188633271,0.0077141260406664155
opponent_fg_pct,0.006025728388407799,0.041292730915034354
advanced_pace,0.005459613859902144,0.01710802336784779
team_ft_pct,0.004815971966972032,0.0035101049226356935
opponent_3p_pct,0.004772038453688764,0.012133252014305894
team_vs_opp_homeaway_median_score_by_team_day_of_week,0.004628059838743298,0.002926972061228414
defensive_four_factors_tov_pct,0.004361479532151497,0.004766980943726171
defensive_four_factors_efg_pct,0.00436064364505397,0.025361752082696244
advanced_3par,0.003896186261211435,0.006831407447669046
opponent_ft_pct,0.0037896419624835758,0.004426480042328316
offensive_four_factors_ft_per_fga_by_team_day_of_week,0.0037660983498174062,0.0012079216282127863
advanced_stl_pct,0.003487104977639295,0.008855231252717252
advanced_ortg_by_team_day_of_week,0.003398870763102765,0.0006966607434626223
advanced_3par_by_team_day_of_week,0.0033115562894977303,0.0004900614846444559
offensive_four_factors_orb_pct,0.0029912635607983666,0.006945448381080337
advanced_ast_pct,0.002852808106808078,0.007272995354850373
advanced_blk_pct,0.00264072761369321,0.010553038406792779
defensive_four_factors_ft_per_fga,0.0024022210063991876,0.019190698203634934
team_home_or_away_median_score_by_team_day_of_week,0.0021745798342870095,0.0012066519318118599
win_loss,0.0019027896058385716,0.023820839212905783
win_loss_by_team_home_away,0.0017962008679830344,0.00016980212527002183
offensive_four_factors_tov_pct_by_team_day_of_week,0.0017888232919579879,0.0001767835016950999
team_vs_opp_median_score_by_team_day_of_week,0.0012087455496449467,0.0007709892127976
day_of_week,0.0010749001437501883,0.0009086182951070089
defensive_four_factors_ft_per_fga_by_team_day_of_week,0.0009980552380976875,0.0007458124507259246
day_by_team_day_of_week,0.0009903110189451482,0.0002780126714915901
defensive_four_factors_tov_pct_by_team_day_of_week,0.0009883166978469661,0.00026651425013989076
median_score_against,0.0009334672223081818,0.00017702670338088898
team_day_median_score,0.0008158197847900862,0.0013506244441463104
advanced_ortg_by_team_travel_distance,0.0007730385885680128,0.00012455239977153174
team_day_median_allowed,0.0007448871546521336,0.00029423009071415644
defensive_four_factors_tov_pct_by_team_home_away,0.000742647317886753,9.62759887397541e-05
advanced_stl_pct_by_team_day_of_week,0.0006951301966550753,0.0004272345029451929
advanced_trb_pct_by_team_day_of_week,0.0006618928410742164,0.0005222373738918776
advanced_ts_pct_by_team_day_of_week,0.0006185786616751909,0.0016467698288630869
month_by_team_day_of_week,0.0005788355140235426,0.0001545673450218399
travel_distance_by_team_home_away,0.0005674484589926941,0.0004140519834235348
home_away_by_team_day_of_week,0.0005585205903691367,0.0008453312075344254
advanced_ortg_by_team_home_away,0.0005354444117904158,4.146667307136304e-06
advanced_ast_pct_by_team_day_of_week,0.0005327018935998221,6.988737834525109e-05
defensive_four_factors_efg_pct_by_team_travel_distance,0.0004893081185766225,0.00040714005135138566
offensive_four_factors_orb_pct_by_team_travel_distance,0.00046594246450613235,0.0010839369589586878
advanced_stl_pct_by_team_home_away,0.00046268200727834455,7.886419243875418e-05
advanced_ast_pct_by_team_home_away,0.00045720956931757586,0.00010875306710449673
team_home_or_away_median_score_by_team_travel_distance,0.0004547314570994303,0.00013684792492225475
