feature,team_score_importance,opp_score_importance
advanced_ortg,0.6271546460148391,0.004270696735640567
advanced_ts_pct,0.1778301988037354,0.0037461755954530302
advanced_pace,0.04533983299444594,0.012359542464525163
opponent_3p_pct,0.02692311619588276,0.004320207082527678
team_vs_opp_homeaway_median_score,0.013176608435366395,0.005820210698578996
offensive_four_factors_tov_pct,0.01045294796454227,0.0031253347972954627
team_3p_pct,0.007878971206868863,0.003721743428767019
team_vs_opp_median_score,0.007485389023773719,0.00210253821848344
defensive_four_factors_efg_pct,0.007314181365398941,0.031292134159942156
advanced_drtg,0.005522094383719466,0.7342140941363126
defensive_four_factors_drb_pct,0.004733502077597489,0.003211256961867842
advanced_3par,0.004672288654291034,0.0026037987796287245
offensive_four_factors_orb_pct,0.003955492276570596,0.0030269065540078806
defensive_four_factors_tov_pct,0.0033178151722612283,0.007186832367260608
win_loss,0.0032272983151808167,7.170676027564961e-06
defensive_four_factors_ft_per_fga,0.002767704329267658,0.006069888893103764
advanced_trb_pct_by_team_day_of_week,0.0025776679064361298,0.0006745112605107468
opponent_fg_pct,0.0024698540985631746,0.022440497271445103
advanced_trb_pct,0.0021016162613839034,0.0022691709334491735
defensive_four_factors_tov_pct_by_team_day_of_week,0.002032680696978033,0.0008289260968071777
day,0.0019498760900357895,0.002091820372933095
team_home_or_away_median_score_by_team_day_of_week,0.0019016706119605535,1.5497766763004294e-05
advanced_stl_pct,0.0017769763697518647,0.015866504028989734
offensive_four_factors_ft_per_fga_by_team_travel_distance,0.0014605074183531809,0.0028778392754196277
advanced_ast_pct,0.0013973240762608413,0.03770905209487566
advanced_pace_by_team_day_of_week,0.001369573382664199,0.0031599671510721453
opponent_ft_pct,0.0012679988957364206,0.005005008752813583
team_vs_opp_homeaway_median_score_by_team_day_of_week,0.0012172043976426611,0.0009019769335095238
advanced_blk_pct,0.0012168219673883488,0.006581953471047832
offensive_four_factors_tov_pct_by_team_day_of_week,0.0011249938322529446,0.003926468540612957
offensive_four_factors_ft_per_fga_by_team_day_of_week,0.0011231582367122023,0.0012902827730735748
offensive_four_factors_orb_pct_by_team_day_of_week,0.0010808185394258225,0.0008101508801806232
day_by_team_travel_distance,0.0010342245099158776,0.0005726203670362975
team_vs_opp_homeaway_median_score_by_team_travel_distance,0.0009542490897085946,0.0001894497270890021
advanced_ftr,0.000906085337334891,0.006128469544222278
median_score_against,0.0008943355096559648,0.002624239958388621
defensive_four_factors_efg_pct_by_team_home_away,0.0008170746622283534,2.530894710825506e-05
team_day_median_allowed,0.0008113007250261896,0.00047303901107946685
defensive_four_factors_efg_pct_by_team_day_of_week,0.0007913904685176521,0.004967757765465058
team_ft_pct,0.0007887031990694664,0.001270964637979558
team_vs_opp_median_score_by_team_travel_distance,0.0007529693163969243,0.00027288871187867894
day_of_week_by_team_travel_distance,0.0006486756634941874,0.00021372687250069414
month,0.0006053544058051203,0.008793916995448259
day_of_week,0.0005930601450477274,0.0028368627441298735
advanced_ts_pct_by_team_travel_distance,0.0005480974251754971,2.197447051671873e-05
advanced_ts_pct_by_team_day_of_week,0.0005321949324026904,0.001458590735670036
month_by_team_travel_distance,0.0005283114406286079,2.3641919487486184e-05
advanced_pace_by_team_travel_distance,0.0005094754843110083,0.0010350216615550578
advanced_ftr_by_team_day_of_week,0.00042888407098422927,0.00013762156456222053
advanced_blk_pct_by_team_day_of_week,0.00040657731558272936,0.0002821725987689866
team_vs_opp_median_score_by_team_day_of_week,0.0004019944131309439,0.0028536063602712866
advanced_ortg_by_team_day_of_week,0.00039432016365614076,0.0018754509479936587
team_day_median_score,0.0003859799431486143,0.00034110799853850573
defensive_four_factors_tov_pct_by_team_travel_distance,0.0003839426616717605,0.000587681025345844
advanced_stl_pct_by_team_travel_distance,0.00038322837217335973,0.001011978658782591
advanced_ast_pct_by_team_day_of_week,0.00037072062871957976,0.0037504232435030113
advanced_trb_pct_by_team_travel_distance,0.000358627957685113,0.0003204233932713456
advanced_3par_by_team_day_of_week,0.00035569368516364725,0.0006950474219048457
median_score_against_by_team_day_of_week,0.00033779507772194786,6.887566895212651e-05
advanced_ortg_by_team_travel_distance,0.0003168862346764136,9.666080811006088e-05
defensive_four_factors_drb_pct_by_team_travel_distance,0.0002926676346793488,0.0003403777521668928
day_by_team_day_of_week,0.00029037362083050947,9.273661291590838e-05
advanced_pace_by_team_home_away,0.00028597325519041884,0.00028563284372338355
defensive_four_factors_ft_per_fga_by_team_day_of_week,0.00028475708388867727,0.00020455306276415016
home_away_by_team_travel_distance,0.0002690574759268816,0.00027015834111621486
advanced_drtg_by_team_travel_distance,0.0002502932476016113,0.00021429527257199954
home_away_by_team_day_of_week,0.0002488474112713543,3.402952060912841e-06
offensive_four_factors_tov_pct_by_team_travel_distance,0.0002487804252219038,0.004618362016273949
advanced_ast_pct_by_team_home_away,0.00024514535322093834,1.5670205634896353e-05
offensive_four_factors_orb_pct_by_team_travel_distance,0.00020462197632474486,0.001990396015950342
defensive_four_factors_drb_pct_by_team_day_of_week,0.0002035396524491438,0.00023487028918306246
month_by_team_home_away,0.0001954642875342484,0.0
day_by_team_home_away,0.00017385314538686237,1.098014531190153e-05
offensive_four_factors_orb_pct_by_team_home_away,0.00016953505055926235,0.0
team_home_or_away_median_score_by_team_travel_distance,0.0001686739624384398,0.00044790060214859855
defensive_four_factors_ft_per_fga_by_team_travel_distance,0.00016747235219026222,0.0004949895316641186
team_day_median_allowed_by_team_travel_distance,0.00016696570538906653,0.0021234868202481983
