Model,Feature,Target,Importance
ATL,Arike Ogunbowale,opp_score,0.0
SEA,A'ja Wilson,team_score,0.0
IND,Aaliyah Edwards,team_score,0.0
IND,Aaliyah Edwards,opp_score,0.0
IND,Aari McDonald,team_score,0.0
SEA,Kayla McBride,team_score,0.0
SEA,Kayla McBride,opp_score,0.0
SEA,Kelsey Plum,team_score,0.0
CHI,Nneka Ogwumike,team_score,0.0
CHI,Sabrina Ionescu,team_score,0.0
CHI,Rhyne Howard,team_score,0.0
CHI,Rhyne Howard,opp_score,0.0
CHI,Natasha Howard,opp_score,0.0
SEA,Angel Reese,team_score,0.0
SEA,Angel Reese,opp_score,0.0
SEA,Arike Ogunbowale,team_score,0.0
SEA,Arike Ogunbowale,opp_score,0.0
SEA,Azura Stevens,team_score,0.0
SEA,Azura Stevens,opp_score,0.0
SEA,Breanna Stewart,team_score,0.0
SEA,Breanna Stewart,opp_score,0.0
SEA,Bridget Carleton,team_score,0.0
SEA,Kelsey Plum,opp_score,0.0
CHI,Nneka Ogwumike,opp_score,0.0
CHI,Odyssey Sims,team_score,0.0
CHI,Odyssey Sims,opp_score,0.0
CHI,Rebecca Allen,team_score,0.0
CHI,Rebecca Allen,opp_score,0.0
ATL,A'ja Wilson,team_score,0.0
ATL,A'ja Wilson,opp_score,0.0
ATL,Aaliyah Edwards,team_score,0.0
CHI,Stefanie Dolson,team_score,0.0
ATL,Aari McDonald,team_score,0.0
ATL,Aari McDonald,opp_score,0.0
ATL,Alanna Smith,team_score,0.0
ATL,Temi Fagbenle,team_score,0.0
SEA,Kamilla Cardoso,opp_score,0.0
IND,Alanna Smith,opp_score,0.0
IND,Angel Reese,team_score,0.0
CON,Aaliyah Edwards,team_score,0.0
IND,Angel Reese,opp_score,0.0
IND,Arike Ogunbowale,team_score,0.0
IND,Arike Ogunbowale,opp_score,0.0
DAL,Chelsea Gray,opp_score,0.0
SEA,Brittney Griner,team_score,0.0
SEA,Brittney Griner,opp_score,0.0
ATL,Stefanie Dolson,opp_score,0.0
ATL,Teaira McCowan,team_score,0.0
ATL,Teaira McCowan,opp_score,0.0
SEA,Cameron Brink,opp_score,0.0
ATL,Temi Fagbenle,opp_score,0.0
DAL,Brittney Griner,opp_score,0.0
DAL,Cameron Brink,team_score,0.0
PHO,Elizabeth Williams,opp_score,0.0
CON,Aaliyah Edwards,opp_score,0.0
PHO,Ezi Magbegor,team_score,0.0
PHO,Ezi Magbegor,opp_score,0.0
PHO,Jackie Young,team_score,0.0
PHO,Jackie Young,opp_score,0.0
PHO,Jonquel Jones,team_score,0.0
PHO,Jonquel Jones,opp_score,0.0
PHO,Jordan Horston,team_score,0.0
DAL,Chelsea Gray,team_score,0.0
SEA,Kiah Stokes,team_score,0.0
SEA,Kiah Stokes,opp_score,0.0
DAL,Cheyenne Parker-Tyus,opp_score,0.0
DAL,Diana Taurasi,team_score,0.0
DAL,Diana Taurasi,opp_score,0.0
SEA,Cameron Brink,team_score,0.0
SEA,A'ja Wilson,opp_score,0.0
SEA,Chelsea Gray,team_score,0.0
SEA,Chelsea Gray,opp_score,0.0
SEA,Chennedy Carter,team_score,0.0
SEA,Chennedy Carter,opp_score,0.0
SEA,Cheyenne Parker-Tyus,team_score,0.0
DAL,Cameron Brink,opp_score,0.0
WAS,Kamilla Cardoso,opp_score,0.0
SEA,Bridget Carleton,opp_score,0.0
SEA,Kamilla Cardoso,team_score,0.0
DAL,Chennedy Carter,team_score,0.0
DAL,Chennedy Carter,opp_score,0.0
DAL,Cheyenne Parker-Tyus,team_score,0.0
PHO,Aari McDonald,opp_score,0.0
CHI,Temi Fagbenle,team_score,0.0
SEA,Aaliyah Edwards,team_score,0.0
SEA,Aaliyah Edwards,opp_score,0.0
SEA,Aari McDonald,team_score,0.0
SEA,Aari McDonald,opp_score,0.0
SEA,Alanna Smith,team_score,0.0
WAS,Chelsea Gray,opp_score,0.0
LAS,Breanna Stewart,opp_score,0.0
CHI,Jackie Young,team_score,0.0
LAS,Bridget Carleton,team_score,0.0
CHI,Kayla McBride,team_score,0.0
CHI,Kayla McBride,opp_score,0.0
CHI,Kelsey Plum,team_score,0.0
WAS,Diana Taurasi,opp_score,0.0
WAS,Bridget Carleton,opp_score,0.0
WAS,Brittney Griner,team_score,0.0
WAS,Brittney Griner,opp_score,0.0
WAS,Cameron Brink,team_score,0.0
WAS,Cameron Brink,opp_score,0.0
WAS,Chelsea Gray,team_score,0.0
SEA,Rebecca Allen,opp_score,0.0
WAS,Chennedy Carter,team_score,0.0
WAS,Chennedy Carter,opp_score,0.0
WAS,Cheyenne Parker-Tyus,team_score,0.0
WAS,Breanna Stewart,team_score,0.0
ATL,Sabrina Ionescu,opp_score,0.0
ATL,Satou Sabally,team_score,0.0
ATL,Satou Sabally,opp_score,0.0
ATL,Stefanie Dolson,team_score,0.0
CHI,Cameron Brink,opp_score,0.0
CHI,Chelsea Gray,team_score,0.0
CHI,Chelsea Gray,opp_score,0.0
WAS,Angel Reese,opp_score,0.0
CHI,Cheyenne Parker-Tyus,opp_score,0.0
WAS,Diana Taurasi,team_score,0.0
SEA,Natasha Howard,team_score,0.0
SEA,Natasha Howard,opp_score,0.0
LAS,Breanna Stewart,team_score,0.0
LAS,Arike Ogunbowale,opp_score,0.0
SEA,Odyssey Sims,team_score,0.0
SEA,Odyssey Sims,opp_score,0.0
SEA,Rebecca Allen,team_score,0.0
CHI,Kahleah Copper,opp_score,0.0
SEA,Rhyne Howard,team_score,0.0
SEA,Rhyne Howard,opp_score,0.0
SEA,Sabrina Ionescu,team_score,0.0
SEA,Sabrina Ionescu,opp_score,0.0
WAS,Cheyenne Parker-Tyus,opp_score,0.0
CHI,Diana Taurasi,team_score,0.0
CHI,Kelsey Plum,opp_score,0.0
WAS,Elizabeth Williams,team_score,0.0
CHI,Jackie Young,opp_score,0.0
CHI,Jonquel Jones,team_score,0.0
WAS,A'ja Wilson,team_score,0.0
