Player,Rk,Date,Age,Tm,home_away,Opp,win_margin,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Lindsay Allen,1,2024-05-15,29.2,CHI,away,DAL,-8.0,0,13.5,2,5,.400,0,0,,1,2,.500,0,1,1,0,1,0,0,0,5,3.2
Lindsay Allen,2,2024-05-18,29.2,CHI,away,DAL,9.0,0,9.1,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,0,2,1.7
Lindsay Allen,3,2024-05-23,29.2,CHI,away,NYL,9.0,0,18.7,4,7,.571,0,1,.000,0,0,,0,1,1,2,0,0,1,3,8,4.2
Lindsay Allen,4,2024-05-25,29.2,CHI,home,CON,-4.0,0,15.6,3,3,1.000,0,0,,0,0,,1,1,2,2,2,0,2,1,6,7.1
Lindsay Allen,5,2024-05-28,29.2,CHI,home,SEA,-9.0,0,23.1,0,3,.000,0,1,.000,3,4,.750,0,2,2,4,0,0,3,2,3,0.1
Lindsay Allen,6,2024-05-30,29.2,CHI,home,LAS,10.0,0,10.8,0,0,,0,0,,2,2,1.000,0,0,0,3,0,0,3,2,2,0.3
Lindsay Allen,7,2024-06-01,29.2,CHI,away,IND,-1.0,0,9.3,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-1.7
Lindsay Allen,8,2024-06-04,29.2,CHI,home,NYL,-13.0,0,14.2,1,1,1.000,0,0,,4,4,1.000,0,1,1,3,0,0,0,3,6,6.9
Lindsay Allen,9,2024-06-06,29.2,CHI,away,WAS,8.0,0,26.6,0,6,.000,0,1,.000,4,6,.667,1,2,3,3,4,0,0,3,4,5.2
Lindsay Allen,10,2024-06-08,29.2,CHI,home,ATL,-9.0,0,17.2,3,4,.750,1,2,.500,1,1,1.000,0,1,1,2,0,0,3,1,8,4.7
Lindsay Allen,11,2024-06-12,29.2,CHI,home,CON,-8.0,0,17.0,1,3,.333,0,0,,0,0,,0,0,0,3,0,0,2,2,2,-0.4
Lindsay Allen,12,2024-06-14,29.2,CHI,away,WAS,-2.0,0,19.2,4,8,.500,0,4,.000,2,2,1.000,0,1,1,3,1,0,4,0,10,5.4
Lindsay Allen,13,2024-06-16,29.2,CHI,away,IND,-8.0,1,26.9,1,4,.250,0,0,,0,0,,0,2,2,2,2,0,0,1,2,3.2
Lindsay Allen,14,2024-06-20,29.3,CHI,home,DAL,11.0,1,14.2,1,2,.500,0,0,,0,0,,0,0,0,4,0,1,1,0,2,3.5
Lindsay Allen,15,2024-06-23,29.3,CHI,home,IND,1.0,1,26.9,2,5,.400,0,0,,0,1,.000,0,1,1,7,0,0,0,1,4,5.7
Lindsay Allen,16,2024-06-27,29.3,CHI,home,LVA,-12.0,1,34.4,5,7,.714,0,1,.000,0,0,,0,4,4,5,1,1,0,0,10,13.5
Lindsay Allen,17,2024-06-30,29.3,CHI,home,MIN,-8.0,1,32.7,5,10,.500,3,5,.600,0,0,,3,3,6,7,1,2,1,4,13,15.7
Lindsay Allen,18,2024-07-02,29.3,CHI,away,ATL,8.0,1,26.2,2,5,.400,1,1,1.000,1,2,.500,0,0,0,3,2,1,2,1,6,5.3
Lindsay Allen,19,2024-07-05,29.3,CHI,away,SEA,4.0,1,31.2,2,4,.500,0,1,.000,1,2,.500,0,2,2,1,3,0,0,4,5,5.3
Lindsay Allen,20,2024-07-07,29.3,CHI,away,SEA,-13.0,1,25.6,1,2,.500,0,0,,0,0,,0,0,0,6,0,0,0,3,2,4.0
Lindsay Allen,21,2024-07-10,29.3,CHI,home,ATL,9.0,1,22.7,2,3,.667,1,1,1.000,0,0,,0,1,1,3,0,0,1,0,5,5.1
Lindsay Allen,22,2024-07-11,29.3,CHI,away,NYL,-15.0,1,32.9,2,6,.333,0,2,.000,1,1,1.000,1,1,2,7,1,0,2,5,5,4.5
Lindsay Allen,23,2024-07-13,29.3,CHI,home,NYL,-14.0,1,32.2,4,7,.571,0,1,.000,0,0,,1,1,2,4,2,0,2,2,8,7.7
Lindsay Allen,24,2024-07-16,29.3,CHI,away,LVA,8.0,1,26.9,3,8,.375,0,2,.000,0,0,,0,5,5,4,1,0,1,0,6,5.9
Lindsay Allen,25,2024-08-15,29.4,CHI,home,PHO,-20.0,1,16.4,2,4,.500,1,1,1.000,0,0,,1,1,2,6,0,0,0,2,5,7.4
Lindsay Allen,26,2024-08-17,29.4,CHI,away,LAS,4.0,1,26.3,7,11,.636,0,1,.000,2,3,.667,2,2,4,6,1,0,4,4,16,12.3
Lindsay Allen,27,2024-08-18,29.4,CHI,away,PHO,-18.0,1,22.3,1,6,.167,0,1,.000,0,0,,0,1,1,2,1,0,1,0,2,-0.1
Lindsay Allen,28,2024-08-23,29.4,CHI,away,CON,-2.0,1,30.4,5,9,.556,0,1,.000,4,4,1.000,0,1,1,6,3,0,5,2,14,11.4
Lindsay Allen,29,2024-08-25,29.4,CHI,home,LVA,-2.0,1,34.0,7,12,.583,1,3,.333,1,2,.500,0,3,3,5,0,0,3,3,16,10.2
Lindsay Allen,30,2024-08-28,29.4,CHI,home,WAS,-4.0,1,26.2,3,8,.375,0,1,.000,2,2,1.000,0,1,1,4,0,0,2,0,8,4.7
Lindsay Allen,31,2024-08-30,29.4,CHI,home,IND,-19.0,1,25.1,6,9,.667,3,3,1.000,4,4,1.000,2,2,4,6,1,0,3,0,19,19.3
Lindsay Allen,32,2024-09-01,29.5,CHI,away,MIN,-5.0,1,32.5,3,7,.429,0,1,.000,0,0,,0,2,2,6,0,0,3,3,6,2.9
Lindsay Allen,33,2024-09-03,29.5,CHI,away,LVA,-19.0,1,18.6,0,3,.000,0,1,.000,0,0,,0,2,2,3,0,0,2,1,0,-1.8
Lindsay Allen,34,2024-09-06,29.5,CHI,home,LAS,14.0,1,31.6,3,7,.429,2,2,1.000,0,0,,0,1,1,6,1,0,1,2,8,8.0
Lindsay Allen,35,2024-09-08,29.5,CHI,home,DAL,15.0,1,21.1,2,3,.667,0,0,,0,0,,0,2,2,1,1,0,2,1,4,2.6
Lindsay Allen,36,2024-09-11,29.5,CHI,home,WAS,-31.0,1,28.9,3,7,.429,0,2,.000,0,0,,0,4,4,5,3,1,1,2,6,8.9
Lindsay Allen,37,2024-09-13,29.5,CHI,away,MIN,-17.0,1,27.9,4,7,.571,1,2,.500,1,2,.500,0,4,4,5,0,0,3,1,10,7.6
Lindsay Allen,38,2024-09-15,29.5,CHI,home,PHO,-5.0,1,26.1,3,5,.600,0,1,.000,0,0,,0,6,6,7,0,0,0,2,6,9.6
Lindsay Allen,39,2024-09-17,29.5,CHI,away,ATL,-16.0,1,30.4,4,12,.333,0,1,.000,8,8,1.000,1,3,4,4,0,0,3,2,16,9.8
Lindsay Allen,40,2024-09-19,29.5,CHI,away,CON,-33.0,1,25.2,2,7,.286,0,3,.000,0,0,,0,1,1,5,0,1,1,4,4,1.8
Rebecca Allen,1,2024-05-14,31.5,PHO,away,LVA,-9.0,1,33.4,5,13,0.385,3,6,0.5,1,2,0.5,1,6,7,2,2,1,2,3,14,9.9
Rebecca Allen,2,2024-05-18,31.5,PHO,home,ATL,3.0,1,21.2,1,6,0.167,0,3,0.0,0,0,,0,3,3,1,0,2,1,1,2,-0.2
Rebecca Allen,3,2024-05-21,31.5,PHO,away,LVA,10.0,1,27.6,3,7,0.429,2,4,0.5,0,0,,0,3,3,0,0,0,1,3,8,3.0
Rebecca Allen,4,2024-05-23,31.5,PHO,home,WAS,3.0,1,24.1,0,3,0.0,0,3,0.0,0,0,,1,1,2,1,0,0,0,0,0,-0.4
Rebecca Allen,5,2024-05-25,31.6,PHO,home,DAL,-15.0,1,14.5,2,4,0.5,1,2,0.5,0,0,,2,1,3,1,0,0,1,3,5,3.2
Rebecca Allen,6,2024-06-07,31.6,PHO,home,MIN,1.0,1,27.2,4,7,0.571,1,3,0.333,0,0,,0,4,4,0,2,1,1,0,9,8.6
Rebecca Allen,7,2024-06-09,31.6,PHO,away,DAL,7.0,1,30.4,3,8,0.375,0,3,0.0,0,0,,2,1,3,1,2,0,0,4,6,4.4
Rebecca Allen,8,2024-06-13,31.6,PHO,home,LVA,-4.0,1,23.8,2,4,0.5,0,2,0.0,0,0,,0,2,2,1,0,1,1,3,4,1.8
Rebecca Allen,9,2024-06-16,31.6,PHO,home,SEA,9.0,1,25.7,3,7,0.429,1,2,0.5,0,0,,0,2,2,1,2,1,3,3,7,3.1
Rebecca Allen,10,2024-06-18,31.6,PHO,home,NYL,6.0,1,33.0,6,8,0.75,5,7,0.714,0,0,,1,6,7,1,0,0,2,0,17,15.0
Rebecca Allen,11,2024-06-22,31.6,PHO,away,MIN,-13.0,1,28.1,4,10,0.4,3,8,0.375,0,0,,2,4,6,2,1,1,0,2,11,10.5
Rebecca Allen,12,2024-06-28,31.6,PHO,home,LAS,14.0,1,25.3,2,6,0.333,0,3,0.0,0,0,,1,5,6,2,3,2,0,3,4,7.4
Rebecca Allen,13,2024-06-30,31.6,PHO,home,IND,-6.0,1,25.8,4,8,0.5,1,4,0.25,0,0,,1,8,9,0,1,0,1,2,9,7.3
Rebecca Allen,14,2024-07-03,31.7,PHO,away,DAL,8.0,1,20.0,5,8,0.625,4,5,0.8,0,0,,1,2,3,0,0,1,1,2,14,10.6
Rebecca Allen,15,2024-07-10,31.7,PHO,home,DAL,16.0,1,20.5,3,6,0.5,1,3,0.333,1,1,1.0,1,0,1,0,1,1,0,2,8,6.6
Rebecca Allen,16,2024-07-12,31.7,PHO,away,IND,-9.0,1,25.5,2,9,0.222,0,3,0.0,0,0,,0,4,4,3,1,0,2,1,4,0.4
Rebecca Allen,17,2024-07-14,31.7,PHO,away,CON,-27.0,1,25.2,2,7,0.286,2,5,0.4,0,0,,0,5,5,3,1,1,1,2,6,5.4
Rebecca Allen,18,2024-07-16,31.7,PHO,away,WAS,9.0,1,16.1,2,5,0.4,1,4,0.25,0,0,,0,1,1,1,1,0,1,1,5,2.9
Laeticia Amihere,1,2024-05-15,22.8,ATL,away,LAS,11.0,0,0.9,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
Laeticia Amihere,2,2024-05-18,22.9,ATL,away,PHO,-3.0,0,4.8,1,3,0.333,0,0,,0,0,,2,2,4,0,0,0,0,0,2,2.3
Laeticia Amihere,3,2024-05-26,22.9,ATL,home,MIN,-13.0,0,0.5,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
Laeticia Amihere,4,2024-06-02,22.9,ATL,home,CON,-19.0,0,5.2,0,0,,0,0,,0,2,0.0,0,1,1,0,0,0,1,1,0,-1.9
Laeticia Amihere,5,2024-06-06,22.9,ATL,home,NYL,-17.0,0,2.5,0,0,,0,0,,0,2,0.0,0,1,1,0,0,0,0,0,0,-0.5
Laeticia Amihere,6,2024-06-11,22.9,ATL,home,WAS,-19.0,0,3.3,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4
Laeticia Amihere,7,2024-06-21,23.0,ATL,home,IND,-12.0,0,2.6,1,1,1.0,0,0,,0,0,,0,0,0,0,1,0,0,1,2,2.3
Laeticia Amihere,8,2024-06-23,23.0,ATL,home,NYL,-21.0,0,12.3,1,5,0.2,0,0,,1,4,0.25,1,5,6,0,0,2,2,0,3,0.3
Laeticia Amihere,9,2024-06-28,23.0,ATL,away,CON,4.0,0,1.4,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1
Laeticia Amihere,10,2024-07-05,23.0,ATL,away,DAL,-3.0,0,3.3,0,1,0.0,0,0,,0,2,0.0,0,0,0,0,0,0,0,0,0,-1.5
Laeticia Amihere,11,2024-07-07,23.0,ATL,away,CON,-13.0,0,15.1,2,9,0.222,0,0,,2,3,0.667,6,2,8,0,1,1,2,2,6,3.8
Laeticia Amihere,12,2024-08-30,23.1,ATL,away,LVA,-11.0,0,8.9,0,1,0.0,0,0,,2,2,1.0,2,2,4,1,0,0,0,2,2,3.2
Laeticia Amihere,13,2024-09-01,23.1,ATL,away,LAS,18.0,0,8.8,1,2,0.5,0,0,,0,0,,1,0,1,1,0,0,1,0,2,1.4
Laeticia Amihere,14,2024-09-03,23.2,ATL,away,PHO,-8.0,0,0.6,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7
Laeticia Amihere,15,2024-09-17,23.2,ATL,home,CHI,16.0,0,2.4,0,0,,0,0,,0,2,0.0,0,0,0,0,0,0,0,0,0,-0.8
Laeticia Amihere,16,2024-09-19,23.2,ATL,away,NYL,11.0,0,10.0,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,2,0,2,-0.7
Ariel Atkins,1,2024-05-14,27.8,WAS,home,NYL,-5.0,1,34.3,7,15,.467,4,7,.571,2,2,1.000,0,2,2,3,3,1,1,1,20,17.3
Ariel Atkins,2,2024-05-17,27.8,WAS,away,CON,-7.0,1,33.3,3,12,.250,0,5,.000,2,2,1.000,0,2,2,7,1,0,6,4,8,-0.3
Ariel Atkins,3,2024-05-19,27.8,WAS,home,SEA,-9.0,1,30.9,7,16,.438,3,7,.429,2,2,1.000,1,2,3,1,2,0,3,4,19,10.0
Ariel Atkins,4,2024-05-21,27.8,WAS,away,LAS,-2.0,1,34.1,3,13,.231,1,7,.143,2,2,1.000,1,1,2,4,6,1,7,5,9,2.6
Ariel Atkins,5,2024-05-23,27.8,WAS,away,PHO,-3.0,1,31.2,6,11,.545,2,6,.333,2,2,1.000,4,1,5,4,1,0,3,4,16,13.0
Ariel Atkins,6,2024-05-25,27.8,WAS,away,SEA,-32.0,1,25.6,0,12,.000,0,3,.000,2,2,1.000,2,3,5,2,1,0,3,4,2,-6.3
Ariel Atkins,7,2024-05-29,27.8,WAS,home,ATL,-6.0,1,35.9,8,17,.471,2,6,.333,3,3,1.000,2,6,8,3,2,1,2,1,21,17.9
Ariel Atkins,8,2024-05-31,27.8,WAS,away,NYL,-11.0,1,32.3,5,9,.556,3,6,.500,2,3,.667,1,6,7,3,1,0,2,3,15,12.7
Ariel Atkins,9,2024-06-04,27.8,WAS,away,CON,-17.0,1,31.6,3,12,.250,0,3,.000,3,5,.600,1,2,3,2,0,0,2,2,9,0.9
Ariel Atkins,10,2024-06-06,27.9,WAS,home,CHI,-8.0,1,26.9,4,12,.333,1,2,.500,1,4,.250,2,2,4,1,1,0,2,5,10,1.7
Ariel Atkins,11,2024-06-07,27.9,WAS,home,IND,-2.0,1,34.5,7,21,.333,2,8,.250,0,0,,2,4,6,5,2,0,3,3,16,8.0
Ariel Atkins,12,2024-06-09,27.9,WAS,away,NYL,-5.0,1,37.6,5,10,.500,3,7,.429,0,0,,1,1,2,5,1,0,2,3,13,10.3
Ariel Atkins,13,2024-06-11,27.9,WAS,away,ATL,19.0,1,27.9,6,10,.600,3,3,1.000,3,4,.750,0,4,4,5,2,1,1,1,18,19.0
Ariel Atkins,14,2024-06-14,27.9,WAS,home,CHI,2.0,1,30.1,9,13,.692,2,5,.400,9,9,1.000,1,2,3,3,0,0,4,3,29,21.7
Ariel Atkins,15,2024-06-19,27.9,WAS,away,IND,-7.0,1,35.0,10,17,.588,2,8,.250,5,7,.714,0,1,1,2,1,1,3,3,27,17.5
Ariel Atkins,16,2024-06-22,27.9,WAS,home,DAL,28.0,1,25.0,3,9,.333,0,2,.000,1,1,1.000,0,7,7,3,1,0,1,1,7,5.7
Ariel Atkins,17,2024-06-23,27.9,WAS,home,DAL,8.0,1,31.5,2,13,.154,1,5,.200,7,8,.875,1,2,3,7,3,2,3,3,12,9.7
Ariel Atkins,18,2024-06-27,27.9,WAS,home,CON,-3.0,1,37.0,5,12,.417,0,3,.000,0,2,.000,0,4,4,5,0,0,4,5,10,1.5
Ariel Atkins,19,2024-06-29,27.9,WAS,home,LVA,-11.0,1,35.6,6,14,.429,1,5,.200,0,0,,0,3,3,5,1,0,2,3,13,7.8
Ariel Atkins,20,2024-07-02,27.9,WAS,away,LAS,2.0,1,31.0,5,9,.556,2,3,.667,0,0,,0,2,2,5,1,0,3,2,12,9.0
Ariel Atkins,21,2024-07-04,27.9,WAS,away,LVA,-21.0,1,28.2,6,14,.429,2,4,.500,4,4,1.000,2,1,3,1,2,0,2,0,18,13.0
Ariel Atkins,22,2024-07-06,27.9,WAS,away,MIN,-7.0,1,34.3,6,15,.400,3,9,.333,0,0,,1,2,3,4,3,0,2,2,15,11.2
Ariel Atkins,23,2024-07-10,27.9,WAS,away,IND,5.0,1,32.4,10,17,.588,1,3,.333,5,6,.833,1,2,3,3,3,1,3,4,26,20.2
Ariel Atkins,24,2024-07-14,28.0,WAS,home,LVA,-12.0,1,35.1,13,25,.520,6,9,.667,4,5,.800,1,3,4,2,1,1,0,3,36,26.8
Ariel Atkins,25,2024-07-16,28.0,WAS,home,PHO,-9.0,1,36.5,5,12,.417,1,5,.200,3,4,.750,2,2,4,6,1,0,2,3,14,11.2
Ariel Atkins,26,2024-08-15,28.0,WAS,away,MIN,-11.0,1,30.5,3,11,.273,1,4,.250,5,5,1.000,0,3,3,2,0,1,3,2,12,4.7
Ariel Atkins,27,2024-08-17,28.0,WAS,home,MIN,-16.0,1,28.2,5,15,.333,1,9,.111,0,0,,1,0,1,5,1,0,3,4,11,3.1
Ariel Atkins,28,2024-08-20,28.1,WAS,home,SEA,-6.0,1,30.6,9,16,.563,5,10,.500,2,2,1.000,2,3,5,1,1,1,3,4,25,17.5
Ariel Atkins,29,2024-08-23,28.1,WAS,home,LAS,6.0,1,29.8,6,13,.462,3,7,.429,0,0,,1,3,4,0,3,1,2,1,15,11.2
Ariel Atkins,30,2024-08-26,28.1,WAS,away,SEA,2.0,1,19.9,1,5,.200,0,2,.000,0,0,,0,5,5,2,0,0,1,3,2,-0.4
Ariel Atkins,31,2024-08-28,28.1,WAS,away,CHI,4.0,1,30.5,6,10,.600,3,5,.600,0,0,,1,5,6,5,1,0,2,2,15,14.3
Ariel Atkins,32,2024-08-31,28.1,WAS,home,CON,-11.0,1,24.2,6,10,.600,3,6,.500,0,0,,0,2,2,2,1,1,5,4,15,7.5
Ariel Atkins,33,2024-09-03,28.1,WAS,away,DAL,4.0,1,26.8,5,13,.385,1,4,.250,3,3,1.000,1,2,3,0,1,2,1,3,14,8.4
Ariel Atkins,34,2024-09-05,28.1,WAS,away,PHO,13.0,1,9.3,3,7,.429,1,4,.250,0,0,,1,1,2,2,1,1,1,1,7,6.0
Ariel Atkins,35,2024-09-08,28.1,WAS,home,MIN,-7.0,1,26.4,4,10,.400,2,6,.333,2,2,1.000,2,1,3,4,3,0,1,4,12,11.5
Ariel Atkins,36,2024-09-11,28.1,WAS,away,CHI,31.0,1,20.4,3,6,.500,1,2,.500,2,2,1.000,0,1,1,0,0,0,0,1,9,5.9
Ariel Atkins,37,2024-09-13,28.1,WAS,away,ATL,3.0,1,25.4,2,5,.400,2,5,.400,4,4,1.000,1,0,1,3,4,0,0,1,10,13.7
Ariel Atkins,38,2024-09-15,28.1,WAS,home,ATL,-3.0,1,40.9,6,13,.462,3,10,.300,1,1,1.000,0,2,2,2,0,1,1,2,16,10.2
Ariel Atkins,39,2024-09-17,28.1,WAS,home,NYL,-16.0,1,24.5,8,14,.571,3,9,.333,3,3,1.000,0,4,4,3,0,0,1,4,22,16.1
Ariel Atkins,40,2024-09-19,28.1,WAS,home,IND,1.0,1,20.6,6,9,.667,5,7,.714,0,0,,0,0,0,2,3,0,2,4,17,13.9
Amy Atwell,1,2024-09-05,26.2,PHO,home,WAS,-13.0,0,4.3,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7
Amy Atwell,2,2024-09-07,26.2,PHO,away,SEA,-24.0,0,12.1,0,4,0.0,0,3,0.0,0,0,,1,1,2,1,0,1,0,1,0,-0.8
Amy Atwell,3,2024-09-13,26.2,PHO,home,CON,-19.0,0,6.2,1,3,0.333,1,3,0.333,1,1,1.0,0,0,0,0,0,0,1,1,4,0.9
Amy Atwell,4,2024-09-15,26.2,PHO,away,CHI,5.0,0,2.9,1,1,1.0,1,1,1.0,0,0,,0,0,0,1,0,0,0,0,3,3.4
Amy Atwell,5,2024-09-17,26.2,PHO,away,LAS,4.0,0,15.7,0,2,0.0,0,2,0.0,0,0,,2,0,2,1,0,0,1,1,0,-0.7
Amy Atwell,6,2024-09-19,26.2,PHO,home,SEA,-19.0,0,18.3,1,4,0.25,1,4,0.25,3,4,0.75,0,2,2,3,0,0,0,0,6,5.9
Shakira Austin,1,2024-05-14,23.8,WAS,home,NYL,-5.0,1,19.6,6,11,0.545,1,1,1.0,0,1,0.0,2,3,5,2,1,5,1,0,13,14.5
Shakira Austin,2,2024-05-17,23.8,WAS,away,CON,-7.0,1,18.9,4,8,0.5,0,0,,2,3,0.667,1,8,9,0,1,0,4,3,10,4.5
Shakira Austin,3,2024-05-21,23.8,WAS,away,LAS,-2.0,1,21.3,5,14,0.357,0,0,,2,4,0.5,4,4,8,1,0,0,2,0,12,6.1
Shakira Austin,4,2024-05-23,23.8,WAS,away,PHO,-3.0,1,20.1,3,11,0.273,0,0,,5,6,0.833,1,3,4,0,0,0,2,3,11,2.5
Shakira Austin,5,2024-05-29,23.8,WAS,home,ATL,-6.0,1,23.6,4,12,0.333,0,1,0.0,4,4,1.0,2,7,9,3,0,0,1,4,12,8.2
Shakira Austin,6,2024-05-31,23.9,WAS,away,NYL,-11.0,1,23.2,4,10,0.4,0,0,,4,6,0.667,0,6,6,0,1,1,2,3,12,6.1
Shakira Austin,7,2024-08-15,24.1,WAS,away,MIN,-11.0,1,19.8,4,9,0.444,0,1,0.0,1,4,0.25,3,7,10,2,3,0,3,4,9,7.1
Shakira Austin,8,2024-08-17,24.1,WAS,home,MIN,-16.0,1,21.6,5,6,0.833,0,0,,6,9,0.667,2,3,5,1,3,2,3,3,16,15.8
Shakira Austin,9,2024-08-20,24.1,WAS,home,SEA,-6.0,1,24.5,7,15,0.467,0,0,,10,15,0.667,2,7,9,0,3,1,8,5,24,11.5
Shakira Austin,10,2024-08-23,24.1,WAS,home,LAS,6.0,1,20.6,6,12,0.5,0,0,,2,2,1.0,3,8,11,2,3,1,2,3,14,14.4
Shakira Austin,11,2024-08-26,24.1,WAS,away,SEA,2.0,1,15.0,3,7,0.429,0,1,0.0,0,0,,1,3,4,0,0,1,0,1,6,4.2
Shakira Austin,12,2024-09-08,24.1,WAS,home,MIN,-7.0,0,9.7,1,6,0.167,0,0,,0,0,,0,2,2,0,0,0,1,1,2,-2.6
Rachel Banham,1,2024-05-14,30.8,CON,home,IND,21.0,0,23.7,3,7,.429,3,7,.429,1,1,1.000,0,1,1,0,1,0,0,3,10,6.4
Rachel Banham,2,2024-05-17,30.8,CON,home,WAS,7.0,0,13.1,0,4,.000,0,3,.000,0,0,,1,0,1,1,0,0,1,2,0,-3.2
Rachel Banham,3,2024-05-23,30.9,CON,home,MIN,1.0,0,23.8,2,5,.400,2,4,.500,0,0,,0,5,5,1,0,0,3,3,6,1.3
Rachel Banham,4,2024-05-25,30.9,CON,away,CHI,4.0,0,10.7,3,4,.750,1,2,.500,0,0,,0,0,0,1,0,0,1,1,7,4.7
Rachel Banham,5,2024-05-28,30.9,CON,home,PHO,23.0,0,19.7,1,8,.125,1,6,.167,1,1,1.000,0,2,2,0,0,0,0,3,4,-1.8
Rachel Banham,6,2024-05-31,30.9,CON,home,DAL,2.0,0,12.9,1,4,.250,1,3,.333,0,0,,0,2,2,0,0,1,0,2,3,1.1
Rachel Banham,7,2024-06-02,30.9,CON,away,ATL,19.0,0,10.4,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,1,2,2,-2.2
Rachel Banham,8,2024-06-04,30.9,CON,home,WAS,17.0,0,10.4,1,4,.250,0,2,.000,1,2,.500,0,1,1,1,2,0,1,0,3,2.2
Rachel Banham,9,2024-06-08,30.9,CON,home,NYL,-7.0,0,2.8,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-0.7
Rachel Banham,10,2024-06-10,30.9,CON,home,IND,17.0,0,13.6,1,4,.250,1,4,.250,0,0,,1,0,1,0,1,0,0,2,3,1.5
Rachel Banham,11,2024-06-15,30.9,CON,away,DAL,18.0,0,17.1,5,8,.625,2,5,.400,4,4,1.000,0,3,3,2,0,1,0,3,16,14.2
Rachel Banham,12,2024-06-18,30.9,CON,home,LAS,9.0,0,18.2,3,7,.429,1,2,.500,0,0,,0,0,0,2,1,0,1,2,7,3.9
Rachel Banham,13,2024-06-21,30.9,CON,away,LVA,-11.0,0,10.0,1,2,.500,1,2,.500,0,0,,0,1,1,1,1,0,0,1,3,3.6
Rachel Banham,14,2024-06-23,30.9,CON,away,SEA,-11.0,0,8.9,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,1.3
Rachel Banham,15,2024-06-27,31.0,CON,away,WAS,3.0,0,4.4,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1
Rachel Banham,16,2024-06-28,31.0,CON,home,ATL,-4.0,0,8.2,1,5,.200,1,3,.333,0,0,,0,1,1,0,1,0,0,1,3,0.8
Rachel Banham,17,2024-07-04,31.0,CON,away,MIN,5.0,0,11.3,1,5,.200,0,2,.000,0,0,,0,2,2,1,0,2,0,0,2,1.6
Rachel Banham,18,2024-07-07,31.0,CON,home,ATL,13.0,0,8.8,0,2,.000,0,2,.000,0,0,,0,0,0,2,1,1,1,2,0,-0.1
Rachel Banham,19,2024-07-10,31.0,CON,home,NYL,-3.0,0,7.4,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3
Rachel Banham,20,2024-07-14,31.0,CON,home,PHO,27.0,0,23.3,8,11,.727,8,11,.727,0,0,,0,2,2,1,0,0,0,2,24,20.0
Rachel Banham,21,2024-07-16,31.0,CON,away,NYL,-8.0,0,10.8,0,4,.000,0,3,.000,2,2,1.000,0,1,1,0,0,0,1,0,2,-1.5
Rachel Banham,22,2024-08-15,31.1,CHI,home,PHO,-20.0,1,26.6,3,10,.300,1,6,.167,0,1,.000,0,1,1,1,0,0,0,3,7,0.6
Rachel Banham,23,2024-08-17,31.1,CHI,away,LAS,4.0,1,30.7,5,8,.625,3,5,.600,1,2,.500,0,2,2,2,0,1,0,1,14,12.3
Rachel Banham,24,2024-08-18,31.1,CHI,away,PHO,-18.0,0,18.6,0,5,.000,0,4,.000,0,0,,1,1,2,2,0,0,0,2,0,-1.9
Rachel Banham,25,2024-08-23,31.1,CHI,away,CON,-2.0,0,17.6,3,6,.500,3,5,.600,0,0,,0,3,3,1,0,0,1,2,9,5.8
Rachel Banham,26,2024-08-25,31.1,CHI,home,LVA,-2.0,0,12.8,0,4,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,3,0,-3.7
Rachel Banham,27,2024-08-28,31.1,CHI,home,WAS,-4.0,1,16.0,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,2.3
Rachel Banham,28,2024-08-30,31.1,CHI,home,IND,-19.0,1,26.5,5,15,.333,4,10,.400,0,0,,1,3,4,4,2,0,0,2,14,11.1
Rachel Banham,29,2024-09-01,31.1,CHI,away,MIN,-5.0,1,16.3,0,3,.000,0,1,.000,0,0,,0,3,3,0,0,0,1,0,0,-2.2
Rachel Banham,30,2024-09-03,31.1,CHI,away,LVA,-19.0,1,20.0,1,6,.167,1,5,.200,0,0,,0,1,1,1,1,0,1,1,3,-0.2
Rachel Banham,31,2024-09-06,31.1,CHI,home,LAS,14.0,0,11.6,3,7,.429,3,6,.500,0,0,,0,0,0,1,0,0,0,1,9,5.6
Rachel Banham,32,2024-09-08,31.2,CHI,home,DAL,15.0,0,8.7,0,3,.000,0,3,.000,0,0,,0,0,0,2,0,0,0,1,0,-1.1
