team,g_num,year,month,day,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,advanced_ortg,advanced_drtg,advanced_pace,advanced_ftr,advanced_3par,advanced_ts_pct,advanced_trb_pct,advanced_ast_pct,advanced_stl_pct,advanced_blk_pct,offensive_four_factors_efg_pct,offensive_four_factors_tov_pct,offensive_four_factors_orb_pct,offensive_four_factors_ft_per_fga,defensive_four_factors_efg_pct,defensive_four_factors_tov_pct,defensive_four_factors_drb_pct,defensive_four_factors_ft_per_fga
NYL,18,2024,6,23,2,ATL,1,96,75,36,70,0.514,10,25,0.4,14,15,0.933,7,38,25,7,4,12,17,30,79,0.38,2,12,0.167,13,19,0.684,14,40,21,5,4,10,14,119.6,93.4,80.2,0.214,0.357,0.627,48.7,69.4,8.7,6.0,0.586,13.5,21.2,0.2,0.392,10.3,68.9,0.165
NYL,19,2024,6,30,1,ATL,1,81,75,28,71,0.394,13,39,0.333,12,16,0.75,5,28,25,8,2,5,14,29,60,0.483,6,17,0.353,11,13,0.846,4,37,16,2,2,15,15,106.8,98.9,75.8,0.225,0.549,0.519,43.1,89.3,10.6,4.7,0.486,6.0,13.2,0.169,0.533,18.6,85.2,0.183
NYL,20,2024,7,2,1,MIN,1,76,67,28,75,0.373,7,32,0.219,13,16,0.813,10,45,17,6,5,8,11,26,67,0.388,8,27,0.296,7,10,0.7,6,37,23,4,2,9,13,100.9,88.9,75.3,0.213,0.427,0.463,54.9,60.7,8.0,12.5,0.42,8.9,24.4,0.173,0.448,11.2,85.4,0.104
NYL,21,2024,7,6,2,IND,2,78,83,29,71,0.408,10,42,0.238,10,16,0.625,8,31,20,7,1,9,11,32,67,0.478,7,24,0.292,12,14,0.857,7,41,20,6,2,10,15,102.8,109.4,75.8,0.225,0.592,0.5,43.1,69.0,9.2,2.3,0.479,10.3,19.0,0.141,0.53,12.0,76.7,0.179
NYL,22,2024,7,10,2,CON,1,71,68,28,57,0.491,3,13,0.231,12,16,0.75,1,33,22,5,6,9,17,24,67,0.358,6,17,0.353,14,16,0.875,7,35,19,1,2,9,16,97.6,93.5,72.7,0.281,0.228,0.554,48.5,78.6,6.9,12.0,0.518,12.3,3.4,0.211,0.403,10.8,82.1,0.209
NYL,23,2024,7,11,1,CHI,1,91,76,30,63,0.476,13,23,0.565,18,20,0.9,4,30,25,8,8,7,9,34,74,0.459,4,10,0.4,4,7,0.571,10,36,23,3,1,12,18,121.2,101.2,75.1,0.317,0.365,0.634,45.5,83.3,10.7,12.5,0.579,8.9,13.3,0.286,0.486,13.5,72.2,0.054
NYL,24,2024,7,13,2,CHI,1,81,67,30,71,0.423,11,36,0.306,10,14,0.714,4,28,21,7,6,5,11,28,69,0.406,7,15,0.467,4,4,1.0,12,41,15,4,2,14,16,110.8,91.6,73.2,0.197,0.507,0.525,40.6,70.0,9.6,11.1,0.5,6.1,12.1,0.141,0.457,16.5,66.7,0.058
NYL,25,2024,7,16,1,CON,1,82,74,26,59,0.441,11,27,0.407,19,20,0.95,6,30,19,10,4,18,15,28,66,0.424,2,18,0.111,16,22,0.727,8,31,17,11,4,13,15,105.6,95.3,77.7,0.339,0.458,0.605,49.2,73.1,12.9,8.3,0.534,21.0,20.7,0.322,0.439,14.7,75.0,0.242
NYL,26,2024,8,15,2,LAS,1,103,68,39,73,0.534,15,30,0.5,10,13,0.769,7,38,31,13,5,13,17,23,64,0.359,6,18,0.333,16,20,0.8,7,29,16,6,4,20,10,123.8,81.8,83.2,0.178,0.411,0.654,56.7,79.5,15.6,10.9,0.637,14.2,24.1,0.137,0.406,21.6,81.6,0.25
NYL,27,2024,8,17,2,LVA,1,79,67,30,74,0.405,8,31,0.258,11,12,0.917,13,46,15,7,5,12,16,24,65,0.369,9,31,0.29,10,11,0.909,2,30,14,10,7,10,18,103.4,87.7,76.4,0.162,0.419,0.498,60.5,50.0,9.2,14.7,0.459,13.1,31.7,0.149,0.438,12.5,94.3,0.154
NYL,28,2024,8,20,1,DAL,1,94,74,34,74,0.459,8,28,0.286,18,24,0.75,14,47,25,7,2,15,19,25,66,0.379,9,21,0.429,15,23,0.652,9,28,20,7,2,18,21,114.5,90.1,82.1,0.324,0.378,0.556,62.7,73.5,8.5,4.4,0.514,15.1,42.4,0.243,0.447,19.1,78.6,0.227
