team,year,month,day,home_away,opp,win_loss,team_score,opp_score,advanced_ortg,advanced_drtg,advanced_pace,advanced_ftr,advanced_3par,advanced_ts_pct,advanced_trb_pct,advanced_ast_pct,advanced_stl_pct,advanced_blk_pct,offensive_four_factors_efg_pct,offensive_four_factors_tov_pct,offensive_four_factors_orb_pct,offensive_four_factors_ft_per_fga,defensive_four_factors_efg_pct,defensive_four_factors_tov_pct,defensive_four_factors_drb_pct,defensive_four_factors_ft_per_fga
ATL,2024,9,1,1,LAS,1,80,62,114.3,88.6,70.0,0.186,0.243,0.528,57.5,68.8,5.7,7.3,0.507,10.6,35.1,0.129,0.395,11.4,80.6,0.21
ATL,2024,9,3,1,PHO,2,66,74,87.6,98.2,75.3,0.206,0.368,0.445,46.8,62.5,9.3,13.3,0.404,14.9,21.2,0.162,0.473,20.4,75.9,0.4
ATL,2024,9,6,1,DAL,1,107,96,125.8,112.8,75.6,0.41,0.321,0.581,52.9,61.5,8.2,5.9,0.551,8.9,37.8,0.269,0.549,18.2,69.7,0.254
ATL,2024,9,8,1,IND,2,100,104,113.1,117.6,78.6,0.191,0.277,0.491,50.7,48.7,9.0,11.6,0.463,7.3,33.3,0.138,0.618,17.7,76.7,0.294
ATL,2024,9,10,1,MIN,2,64,76,86.1,102.3,74.3,0.271,0.257,0.408,50.0,57.1,10.8,6.8,0.336,11.3,23.3,0.243,0.555,12.8,87.1,0.078
ATL,2024,9,13,1,WAS,2,69,72,93.0,97.0,74.2,0.342,0.274,0.411,55.4,66.7,16.2,7.7,0.322,14.3,40.5,0.301,0.5,20.3,75.0,0.2
ATL,2024,9,15,1,WAS,1,76,73,94.3,90.5,71.7,0.379,0.364,0.494,57.4,61.5,16.1,3.6,0.424,16.3,24.1,0.303,0.475,20.9,87.5,0.288
ATL,2024,9,17,1,CHI,1,86,70,117.3,95.5,73.3,0.484,0.242,0.572,54.7,63.3,12.3,9.3,0.524,8.5,23.3,0.339,0.459,16.0,82.4,0.23
ATL,2024,9,19,1,NYL,1,78,67,107.1,92.0,72.8,0.258,0.21,0.565,55.6,71.0,11.0,4.7,0.54,16.9,32.1,0.177,0.467,20.1,74.3,0.183
CHI,2024,5,15,1,DAL,2,79,87,98.9,108.9,79.9,0.365,0.23,0.46,46.8,48.3,11.3,4.5,0.426,12.3,37.2,0.216,0.482,14.8,58.3,0.098
CHI,2024,5,18,1,DAL,1,83,74,99.2,88.4,83.7,0.25,0.263,0.467,51.2,78.1,17.9,27.1,0.425,16.1,41.3,0.188,0.402,24.7,63.9,0.318
CHI,2024,5,23,1,NYL,1,90,81,111.8,100.6,80.5,0.267,0.253,0.537,52.1,62.9,6.2,4.3,0.513,9.7,28.9,0.173,0.493,15.3,77.1,0.188
CHI,2024,5,25,1,CON,2,82,86,115.9,121.6,70.7,0.344,0.266,0.556,35.6,64.3,18.4,6.5,0.5,13.0,29.0,0.281,0.54,19.0,42.9,0.286
CHI,2024,5,28,1,SEA,2,68,77,83.5,94.6,81.4,0.197,0.182,0.474,53.6,70.4,13.5,0.0,0.439,22.6,27.8,0.152,0.477,20.0,81.8,0.25
CHI,2024,5,30,1,LAS,1,83,73,103.5,91.0,80.2,0.213,0.253,0.506,51.5,84.4,16.2,17.9,0.473,14.6,33.3,0.16,0.433,19.8,75.9,0.35
CHI,2024,6,1,1,IND,2,70,71,91.6,92.9,76.4,0.261,0.174,0.455,56.6,53.6,9.2,2.3,0.42,16.3,33.3,0.174,0.435,12.6,77.5,0.159
CHI,2024,6,4,1,NYL,2,75,88,92.8,108.9,80.8,0.378,0.095,0.434,50.0,62.5,6.2,8.7,0.338,10.4,27.3,0.338,0.5,10.7,75.0,0.128
CHI,2024,6,6,1,WAS,1,79,71,91.6,82.4,86.2,0.278,0.177,0.445,52.6,60.0,16.2,2.1,0.386,12.8,31.0,0.228,0.453,24.8,79.4,0.203
CHI,2024,6,8,1,ATL,2,80,89,102.0,113.5,78.4,0.35,0.183,0.578,48.3,58.6,10.2,3.8,0.508,22.4,25.9,0.317,0.5,14.3,66.7,0.309
CHI,2024,6,12,1,CON,2,75,83,100.7,111.4,74.5,0.259,0.224,0.58,50.9,67.9,10.7,14.6,0.534,20.8,28.6,0.224,0.476,15.9,72.4,0.387
CHI,2024,6,14,1,WAS,2,81,83,99.0,101.4,81.8,0.379,0.197,0.526,48.6,53.3,11.0,2.9,0.485,15.4,23.7,0.258,0.5,19.5,78.1,0.297
CHI,2024,6,16,1,IND,2,83,91,108.3,118.7,76.7,0.173,0.148,0.476,45.7,60.6,10.4,4.5,0.438,5.4,28.6,0.148,0.629,17.6,71.4,0.21
CHI,2024,6,20,1,DAL,1,83,72,107.7,93.5,77.0,0.29,0.174,0.533,52.7,59.4,9.1,7.7,0.486,14.3,30.6,0.232,0.423,16.9,73.7,0.262
CHI,2024,6,23,1,IND,1,88,87,106.9,105.7,82.3,0.516,0.274,0.578,60.3,80.6,4.9,2.6,0.532,16.5,22.6,0.355,0.558,10.7,96.9,0.145
CHI,2024,6,27,1,LVA,2,83,95,105.7,120.9,78.6,0.179,0.205,0.493,52.1,58.8,7.6,7.3,0.462,6.7,25.6,0.141,0.568,10.4,82.4,0.303
CHI,2024,6,30,1,MIN,2,62,70,75.3,85.0,82.3,0.171,0.22,0.352,52.4,56.0,10.9,7.3,0.335,13.7,32.0,0.085,0.431,19.8,82.4,0.215
CHI,2024,7,2,1,ATL,1,85,77,109.1,98.8,77.9,0.257,0.2,0.545,47.9,60.6,7.7,8.7,0.514,11.4,27.8,0.186,0.493,19.3,68.6,0.147
CHI,2024,7,5,1,SEA,1,88,84,114.6,109.4,76.8,0.292,0.194,0.542,57.8,61.8,9.1,10.6,0.507,11.9,42.4,0.208,0.477,14.4,74.2,0.318
CHI,2024,7,7,1,SEA,2,71,84,89.8,106.2,79.1,0.154,0.179,0.426,51.4,69.0,10.1,18.0,0.391,10.7,27.5,0.128,0.464,11.2,79.4,0.29
CHI,2024,7,10,1,ATL,1,78,69,95.2,84.2,81.9,0.176,0.23,0.489,54.4,68.8,13.4,13.6,0.473,11.1,20.5,0.108,0.42,15.5,87.5,0.159
CHI,2024,7,11,1,NYL,2,76,91,101.2,121.2,75.1,0.095,0.135,0.493,54.5,67.6,4.0,2.5,0.486,13.5,27.8,0.054,0.579,8.9,86.7,0.286
CHI,2024,7,13,1,NYL,2,67,81,91.6,110.8,73.2,0.058,0.217,0.473,59.4,53.6,5.5,5.7,0.457,16.5,33.3,0.058,0.5,6.1,87.9,0.141
