team,g_num,year,month,day,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf
ATL,30,2024,8,28,2,SEA,2,81,85,32,73,0.438,6,21,0.286,11,12,0.917,7,36,23,5,5,13,17,31,72,0.431,8,17,0.471,15,18,0.833,5,37,19,6,5,7,12
ATL,31,2024,8,30,2,LVA,2,72,83,26,71,0.366,11,29,0.379,9,13,0.692,10,41,16,4,3,9,13,31,69,0.449,10,29,0.345,11,16,0.688,8,39,19,4,8,5,13
ATL,32,2024,9,1,2,LAS,1,80,62,32,70,0.457,7,17,0.412,9,13,0.692,13,42,22,4,3,9,17,23,62,0.371,3,21,0.143,13,18,0.722,7,31,14,5,2,9,14
ATL,33,2024,9,3,2,PHO,2,66,74,24,68,0.353,7,25,0.28,11,14,0.786,7,29,15,7,4,13,19,23,55,0.418,6,25,0.24,22,26,0.846,7,33,18,7,4,17,15
ATL,34,2024,9,6,1,DAL,1,107,96,39,78,0.5,8,25,0.32,21,32,0.656,14,37,24,7,3,9,18,35,71,0.493,8,20,0.4,18,22,0.818,10,33,26,5,3,18,24
ATL,35,2024,9,8,2,IND,2,100,104,39,94,0.415,9,26,0.346,13,18,0.722,15,38,19,8,5,8,21,37,68,0.544,10,25,0.4,20,25,0.8,7,37,23,5,4,17,19
ATL,36,2024,9,10,1,MIN,2,64,76,21,70,0.3,5,18,0.278,17,19,0.895,10,37,12,8,3,10,11,32,64,0.5,7,20,0.35,5,9,0.556,4,37,24,7,4,10,17
ATL,37,2024,9,13,1,WAS,2,69,72,21,73,0.288,5,20,0.25,22,25,0.88,17,41,14,12,3,14,19,26,60,0.433,8,21,0.381,12,15,0.8,8,33,17,8,6,17,18
ATL,38,2024,9,15,2,WAS,1,76,73,26,66,0.394,4,24,0.167,20,25,0.8,7,35,16,13,1,15,20,23,59,0.39,10,31,0.323,17,21,0.81,4,26,14,6,3,18,21
ATL,39,2024,9,17,1,CHI,1,86,70,30,62,0.484,5,15,0.333,21,30,0.7,7,35,19,9,4,7,14,25,61,0.41,6,18,0.333,14,16,0.875,6,29,13,1,2,13,24
ATL,40,2024,9,19,2,NYL,1,78,67,31,62,0.5,5,13,0.385,11,16,0.688,9,35,22,8,2,14,16,24,60,0.4,8,17,0.471,11,17,0.647,9,28,17,8,6,17,16
CHI,1,2024,5,15,2,DAL,2,79,87,29,74,0.392,5,17,0.294,16,27,0.593,16,37,14,9,3,12,19,37,82,0.451,5,15,0.333,8,10,0.8,15,42,18,7,12,15,20
CHI,2,2024,5,18,2,DAL,1,83,74,32,80,0.4,4,21,0.19,15,20,0.75,19,42,25,15,13,17,24,23,66,0.348,7,18,0.389,21,23,0.913,13,40,15,7,8,25,23
CHI,3,2024,5,23,2,NYL,1,90,81,35,75,0.467,7,19,0.368,13,20,0.65,11,38,22,5,2,9,18,30,69,0.435,8,22,0.364,13,20,0.65,8,35,22,8,5,14,17
CHI,4,2024,5,25,1,CON,2,82,86,28,64,0.438,8,17,0.471,18,22,0.818,9,21,18,13,3,11,24,31,63,0.492,6,17,0.353,18,21,0.857,16,38,17,5,4,17,16
CHI,5,2024,5,28,1,SEA,2,68,77,27,66,0.409,4,12,0.333,10,13,0.769,10,37,19,11,0,21,18,28,64,0.438,5,15,0.333,16,18,0.889,6,32,17,13,8,18,15
CHI,6,2024,5,30,1,LAS,1,83,73,32,75,0.427,7,19,0.368,12,16,0.75,13,35,27,13,7,14,26,24,60,0.4,4,21,0.19,21,29,0.724,7,33,17,9,2,18,15
CHI,7,2024,6,1,2,IND,2,70,71,28,69,0.406,2,12,0.167,12,18,0.667,12,43,15,7,1,15,17,27,69,0.391,6,25,0.24,11,16,0.688,9,33,19,6,5,11,18
CHI,8,2024,6,4,1,NYL,2,75,88,24,74,0.324,2,7,0.286,25,28,0.893,12,42,15,5,4,10,17,34,78,0.436,10,32,0.313,10,12,0.833,10,42,24,7,4,10,22
CHI,9,2024,6,6,2,WAS,1,79,71,30,79,0.38,1,14,0.071,18,22,0.818,13,40,18,14,1,13,21,27,64,0.422,4,17,0.235,13,20,0.65,7,36,20,7,7,24,24
CHI,10,2024,6,8,1,ATL,2,80,89,29,60,0.483,3,11,0.273,19,21,0.905,7,29,17,8,2,20,21,31,68,0.456,6,16,0.375,21,23,0.913,11,31,22,14,4,13,20
CHI,11,2024,6,12,1,CON,2,75,83,28,58,0.483,6,13,0.462,13,15,0.867,8,29,19,8,7,17,18,28,62,0.452,3,14,0.214,24,28,0.857,8,28,21,13,2,14,14
CHI,12,2024,6,14,2,WAS,2,81,83,30,66,0.455,4,13,0.308,17,25,0.68,9,34,16,9,1,14,25,28,64,0.438,8,30,0.267,19,23,0.826,7,36,20,7,5,18,25
CHI,13,2024,6,16,2,IND,2,83,91,33,81,0.407,5,12,0.417,12,14,0.857,12,32,20,8,2,5,21,35,62,0.565,8,18,0.444,13,19,0.684,8,38,23,1,11,15,17
CHI,14,2024,6,20,1,DAL,1,83,72,32,69,0.464,3,12,0.25,16,20,0.8,11,39,19,7,3,13,16,23,65,0.354,9,26,0.346,17,20,0.85,10,35,16,9,3,15,19
CHI,15,2024,6,23,1,IND,1,88,87,31,62,0.5,4,17,0.235,22,32,0.688,7,38,25,4,1,15,18,32,69,0.464,13,30,0.433,10,14,0.714,1,25,28,9,4,9,25
CHI,16,2024,6,27,1,LVA,2,83,95,34,78,0.436,4,16,0.25,11,14,0.786,10,38,20,6,3,6,20,33,66,0.5,9,25,0.36,20,27,0.741,6,35,20,5,11,9,15
CHI,17,2024,6,30,1,MIN,2,62,70,25,82,0.305,5,18,0.278,7,14,0.5,16,44,14,9,3,14,21,25,65,0.385,6,24,0.25,14,18,0.778,6,40,23,11,9,18,15
CHI,18,2024,7,2,2,ATL,1,85,77,33,70,0.471,6,14,0.429,13,18,0.722,10,34,20,6,4,10,17,30,68,0.441,7,22,0.318,10,16,0.625,11,37,27,6,2,18,17
CHI,19,2024,7,5,2,SEA,1,88,84,34,72,0.472,5,14,0.357,15,21,0.714,14,37,21,7,5,11,22,30,66,0.455,3,19,0.158,21,26,0.808,8,27,24,7,9,13,17
CHI,20,2024,7,7,2,SEA,2,71,84,29,78,0.372,3,14,0.214,10,12,0.833,11,38,20,8,9,10,18,29,69,0.42,6,19,0.316,20,24,0.833,7,36,24,4,7,10,15
