team,year,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,day,month
SEA,2020,,WAS,W,71,64,24,62,.387,5,21,.238,18,22,.818,11,43,18,5,2,13,10,26,69,.377,7,27,.259,5,5,1.000,5,25,19,5,3,7,16,2.0,9.0
SEA,2020,@,LAS,W,90,89,32,66,.485,7,20,.350,19,24,.792,8,30,25,10,4,14,17,33,62,.532,8,19,.421,15,16,.938,3,25,20,7,6,13,20,4.0,9.0
SEA,2020,@,MIN,W,103,88,35,67,.522,11,26,.423,22,24,.917,7,24,28,15,2,12,16,29,62,.468,12,26,.462,18,21,.857,14,34,21,7,0,24,19,6.0,9.0
SEA,2020,,DAL,W,107,95,39,77,.506,9,20,.450,20,22,.909,9,36,30,8,4,10,22,33,68,.485,8,24,.333,21,25,.840,3,29,20,2,3,12,24,9.0,9.0
SEA,2020,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,,
SEA,2020,@,PHO,W,83,60,31,66,.470,7,17,.412,14,17,.824,9,36,22,5,2,16,23,15,62,.242,3,25,.120,27,28,.964,11,32,12,8,4,14,16,11.0,9.0
SEA,2020,,LVA,L,84,86,30,73,.411,9,21,.429,15,20,.750,9,35,19,5,4,11,19,30,69,.435,8,19,.421,18,27,.667,8,37,25,4,4,9,19,13.0,9.0
WAS,2020,,IND,W,101,76,38,68,.559,7,17,.412,18,20,.900,7,41,16,5,1,13,19,28,71,.394,8,26,.308,12,15,.800,6,28,12,7,1,13,21,25.0,7.0
WAS,2020,@,CON,W,94,89,34,70,.486,9,25,.360,17,21,.810,5,35,19,10,0,15,28,30,66,.455,7,18,.389,22,30,.733,6,36,16,8,1,16,25,28.0,7.0
WAS,2020,,SEA,W,89,71,33,76,.434,15,32,.469,8,9,.889,10,36,25,13,1,8,15,26,66,.394,5,25,.200,14,15,.933,11,38,16,4,4,18,14,30.0,7.0
WAS,2020,@,CHI,L,86,88,31,74,.419,8,22,.364,16,20,.800,7,35,20,10,1,14,12,36,70,.514,12,25,.480,4,7,.571,4,35,25,7,5,17,19,1.0,8.0
WAS,2020,,LVA,L,77,83,31,74,.419,8,26,.308,7,11,.636,8,30,17,7,1,11,23,28,57,.491,4,10,.400,23,30,.767,6,38,11,6,0,15,17,5.0,8.0
WAS,2020,,NYL,L,66,74,23,61,.377,4,16,.250,16,20,.800,1,26,12,9,2,14,21,22,56,.393,12,32,.375,18,24,.750,6,38,16,4,2,18,24,7.0,8.0
WAS,2020,@,IND,L,84,91,26,69,.377,7,21,.333,25,33,.758,10,31,16,10,1,9,22,29,58,.500,8,17,.471,25,31,.806,9,39,17,4,2,16,22,9.0,8.0
WAS,2020,@,MIN,L,48,68,18,61,.295,4,19,.211,8,8,1.000,9,31,14,8,5,16,15,26,67,.388,6,20,.300,10,15,.667,14,42,16,6,2,14,15,11.0,8.0
WAS,2020,,LAS,L,64,81,25,60,.417,7,25,.280,7,10,.700,6,32,17,7,1,21,16,31,64,.484,6,19,.316,13,18,.722,7,34,18,10,2,12,19,13.0,8.0
WAS,2020,@,LVA,L,73,88,29,76,.382,8,28,.286,7,8,.875,15,39,19,6,3,18,17,35,65,.538,6,13,.462,12,15,.800,3,29,21,10,2,10,12,15.0,8.0
