feature,team_score_importance,opp_score_importance
advanced_ts_pct,0.4704443386786753,0.00350584133503699
advanced_ortg,0.20185731979571087,0.009382283687721406
team_3p_pct,0.04211955993862773,0.0019828217178361057
defensive_four_factors_ft_per_fga,0.03472850751219335,0.019637068658428673
team_vs_opp_homeaway_median_score,0.033482672726403276,0.01548594543593157
offensive_four_factors_orb_pct,0.016911981401929035,0.0036467797134335563
team_ft_pct,0.014544055290877395,0.002623697002334042
advanced_ftr,0.013434413951542804,0.03643436106378202
advanced_3par,0.011331357249645593,0.020486113110570702
team_vs_opp_median_score,0.011132789157617368,0.011577410045701198
offensive_four_factors_tov_pct,0.009732194684843359,0.007447726841350826
advanced_blk_pct,0.008388497818641117,0.008762694129265508
advanced_trb_pct,0.008367637169107125,0.001708860082769665
month,0.007895288010228207,0.002466324496408394
team_day_median_score,0.006966405858594273,0.0016815856181074005
advanced_pace,0.00601561627214637,0.03283050312699324
defensive_four_factors_drb_pct,0.006009357717870682,0.0061233875378599355
defensive_four_factors_ft_per_fga_by_team_day_of_week,0.0056467066537301235,0.004596833542677828
win_loss,0.00548195561697426,0.004593012211973917
advanced_ortg_by_team_day_of_week,0.0045937884786878035,0.009194068663496851
advanced_stl_pct,0.004227442066421485,0.008810679043284204
win_loss_by_team_day_of_week,0.003885391951593044,0.0001668347843777033
opponent_3p_pct,0.0034887097212556776,0.01219199383889918
advanced_ast_pct,0.0033945596660312142,0.009330014560809551
advanced_ast_pct_by_team_day_of_week,0.0032083723254809973,0.002943154691966584
advanced_ts_pct_by_team_travel_distance,0.0030502668696063893,0.0005652543710922703
defensive_four_factors_drb_pct_by_team_day_of_week,0.002984143209793666,0.001803338669462169
day_of_week,0.002906229710801424,0.0006437605701641639
team_day_median_allowed,0.0028563584803837786,0.011327104011133104
offensive_four_factors_orb_pct_by_team_day_of_week,0.002562337489177494,0.00018768986636606732
advanced_stl_pct_by_team_travel_distance,0.002427508800920461,0.00016094222486731042
advanced_drtg,0.002365720553809329,0.5172547026422619
advanced_trb_pct_by_team_day_of_week,0.002277661812125715,0.0016801392091347095
advanced_blk_pct_by_team_day_of_week,0.0022544915772987157,0.00045019906006647624
defensive_four_factors_efg_pct,0.0021021861276160118,0.03166865480311725
advanced_pace_by_team_day_of_week,0.0020887477107879708,0.014052763110998765
team_home_or_away_median_score_by_team_day_of_week,0.0020393047323046024,0.0002057483605506511
advanced_ortg_by_team_travel_distance,0.0020348262835530677,0.0005291247139321307
defensive_four_factors_tov_pct,0.001983927686496411,0.033167895343600234
team_vs_opp_median_score_by_team_day_of_week,0.0018976572812219557,0.00029089339222141655
opponent_fg_pct,0.0018216775956126858,0.09806816367305084
day,0.0017017156550594907,0.005113891153136045
offensive_four_factors_tov_pct_by_team_day_of_week,0.0016431097475147042,0.0007760920071882424
defensive_four_factors_efg_pct_by_team_day_of_week,0.0015401094270689711,0.0005075328605371899
advanced_ts_pct_by_team_day_of_week,0.0013934899082235393,0.00048225373187267204
opponent_ft_pct,0.001379030527336416,0.006182006765111842
median_score_for,0.0012585323078251939,0.00010437851202999636
advanced_drtg_by_team_travel_distance,0.0011754697885888574,0.0005514566135795975
team_vs_opp_homeaway_median_score_by_team_day_of_week,0.00103505850018938,7.748309998848375e-05
advanced_3par_by_team_day_of_week,0.0009427576387482876,0.005773721007273755
advanced_stl_pct_by_team_day_of_week,0.0009350064456890443,0.0006530956761032772
median_score_for_by_team_home_away,0.000831180857434435,4.183532967002359e-05
offensive_four_factors_orb_pct_by_team_travel_distance,0.0008212556738373441,0.0002674396433208106
advanced_ast_pct_by_team_travel_distance,0.0007947797216032697,9.413048752514888e-05
advanced_drtg_by_team_day_of_week,0.0007827458925589894,0.001847566598754295
month_by_team_travel_distance,0.0007464130976841399,0.0005770062980200595
advanced_ftr_by_team_day_of_week,0.0006386740058723554,0.0006886213016244203
month_by_team_day_of_week,0.0006181690068818191,0.000885170243938814
median_score_for_by_team_day_of_week,0.0005646048751769292,0.0011528563055537295
day_of_week_by_team_travel_distance,0.00048585470273476483,0.00029234575367740565
advanced_blk_pct_by_team_home_away,0.0003874107980439204,8.212618408378437e-05
advanced_ftr_by_team_travel_distance,0.0003561927900499179,0.0009603673878511315
advanced_blk_pct_by_team_travel_distance,0.0003212857535195719,0.0003002293730608997
day_by_team_day_of_week,0.0003133072600418034,0.0007272068232049433
travel_distance_by_team_day_of_week,0.00031293178557754325,0.0021847846377417994
advanced_pace_by_team_travel_distance,0.00030469652453282437,2.6912449814903474e-05
defensive_four_factors_efg_pct_by_team_travel_distance,0.00026831206668166165,0.0005727666642621618
advanced_stl_pct_by_team_home_away,0.00026632996980217947,0.00014743475289225006
defensive_four_factors_drb_pct_by_team_travel_distance,0.0002661483575533629,0.0011286573630899242
offensive_four_factors_ft_per_fga_by_team_travel_distance,0.0002447136476502041,0.0003605810259217635
median_score_against_by_team_day_of_week,0.00020893316820945823,0.0012200940552737104
team_day_median_allowed_by_team_travel_distance,0.0001632528693276185,0.0003485131931266498
advanced_ts_pct_by_team_home_away,0.00014450292691565802,0.0001640445305567974
home_away_by_team_day_of_week,0.00012333367689140035,0.00018091625300705954
offensive_four_factors_tov_pct_by_team_travel_distance,0.0001220863044430671,0.0001294474616959101
defensive_four_factors_ft_per_fga_by_team_travel_distance,0.0001153402621514267,0.00048816522058738954
defensive_four_factors_efg_pct_by_team_home_away,0.00011297707638872587,0.0003222993482146408
offensive_four_factors_tov_pct_by_team_home_away,0.00011091978990235837,5.139213119880134e-05
median_score_against,0.00011033383422995645,0.0004310397608756882
