feature,team_score_importance,opp_score_importance
advanced_ortg,0.4997357877560472,0.0028537216692774963
team_vs_opp_homeaway_median_score,0.13647562408837477,0.005036972640127762
advanced_pace,0.0936234593547066,0.003157091655403861
win_loss,0.05991650005601083,6.12135974008568e-05
advanced_ts_pct,0.041563890812749554,0.004964842561109886
advanced_trb_pct,0.01715395110218363,0.003654279159275356
defensive_four_factors_tov_pct,0.017073524124734743,0.0014744618796506705
advanced_ftr,0.011171305450637325,0.0026778478165015366
defensive_four_factors_drb_pct,0.010997073614732976,0.0036656778530799326
advanced_drtg,0.010501142132194307,0.7225718240169408
opponent_ft_pct,0.00728244004142297,0.0013587892058114744
offensive_four_factors_tov_pct,0.00635204014713946,0.0029027277576188343
advanced_ast_pct,0.0062882682961612,0.020638226171154784
advanced_stl_pct,0.006066472312317101,0.0043896421858079255
advanced_3par,0.005645773146562999,0.017184591221187116
opponent_3p_pct,0.005086490117029746,0.0399473881688642
team_ft_pct,0.004821403733736665,0.006070057773989353
advanced_blk_pct,0.004207201837066026,0.004741051218184531
defensive_four_factors_ft_per_fga,0.004065173632548335,0.007819294711573433
opponent_fg_pct,0.003915667401638551,0.01021869110311116
team_vs_opp_homeaway_median_score_by_team_day_of_week,0.0029860814132372225,0.0026317696096477437
defensive_four_factors_efg_pct,0.002857909670973346,0.021643926916620048
offensive_four_factors_orb_pct,0.00279697460993162,0.006044387857277543
month,0.002221913516165356,0.0007218383550317876
day_of_week,0.002203607341738523,0.0009734491516581461
defensive_four_factors_drb_pct_by_team_day_of_week,0.0021850801778128615,0.002954153443107516
defensive_four_factors_ft_per_fga_by_team_day_of_week,0.0018660112483036434,0.0017968076827519796
team_3p_pct,0.001648053508145019,0.009572957451212378
day,0.0016099409488515935,0.03270134367859021
advanced_ast_pct_by_team_day_of_week,0.0015968427339954744,0.003347785304425457
advanced_trb_pct_by_team_day_of_week,0.0014769498801121945,0.002750541629369512
advanced_ftr_by_team_day_of_week,0.0013696179182127624,0.0007313327846129548
team_vs_opp_median_score,0.0012373999029222924,0.008241066958014631
advanced_ortg_by_team_day_of_week,0.0011924570115224584,0.0002803519198420459
advanced_drtg_by_team_travel_distance,0.0011392580503590893,0.0007031311230616984
defensive_four_factors_ft_per_fga_by_team_travel_distance,0.0009367610464706578,0.0003908974190550059
advanced_pace_by_team_travel_distance,0.0008909085521087018,0.0005506355314583378
team_day_median_allowed,0.000808951190234428,0.0006326671525706299
advanced_trb_pct_by_team_travel_distance,0.0007767974081313711,0.0003074449065832149
defensive_four_factors_drb_pct_by_team_travel_distance,0.0007643270405754808,0.0007452124026529904
day_by_team_day_of_week,0.0007089839551193847,0.0008303905198103706
team_vs_opp_median_score_by_team_day_of_week,0.0006230300150237261,0.002198998651717584
team_day_median_score,0.0006217804244987764,0.00011368610107143689
offensive_four_factors_ft_per_fga_by_team_day_of_week,0.0006104847918241205,0.0008867870375017324
median_score_for_by_team_home_away,0.000546110787113264,8.13273326646455e-05
defensive_four_factors_efg_pct_by_team_day_of_week,0.0005373302563978208,0.0003761211169306762
advanced_pace_by_team_day_of_week,0.0005353759902656245,0.0027544779853704133
day_by_team_home_away,0.0005187201688172873,2.9580944618375275e-05
defensive_four_factors_efg_pct_by_team_travel_distance,0.0005004000855678821,0.000115659350935709
advanced_ts_pct_by_team_day_of_week,0.000497135723827792,0.0008183613042537442
advanced_3par_by_team_day_of_week,0.0004638954955606385,0.0019316815979351298
advanced_ftr_by_team_travel_distance,0.0004616989289330554,0.0004795271212331168
team_day_median_score_by_team_travel_distance,0.0004547584677824889,0.00014513012180208447
offensive_four_factors_orb_pct_by_team_travel_distance,0.0004473451295867791,4.35132737185374e-05
advanced_pace_by_team_home_away,0.0004465834176304229,0.00011311739402204686
median_score_for_by_team_day_of_week,0.0004294839828594816,0.0020913035123409198
advanced_drtg_by_team_day_of_week,0.00040980238495328807,0.007550799084509857
defensive_four_factors_tov_pct_by_team_day_of_week,0.0003657124881284763,0.00048374528544551423
offensive_four_factors_orb_pct_by_team_day_of_week,0.0003525066137923087,0.00032547158758236804
home_away_by_team_travel_distance,0.0003487021209278382,0.00035092116101104
team_vs_opp_homeaway_median_score_by_team_travel_distance,0.0003312645854092476,0.0008843644982109924
month_by_team_travel_distance,0.0003227755253535247,0.0008812120447922447
advanced_ortg_by_team_home_away,0.0003202940402139924,5.4795112247454305e-05
offensive_four_factors_ft_per_fga_by_team_travel_distance,0.00029853767061053176,0.0007814982143503817
team_vs_opp_median_score_by_team_travel_distance,0.00027488065300925374,0.0004775520480757437
offensive_four_factors_tov_pct_by_team_day_of_week,0.0002703119781645015,0.0011198648127193553
advanced_ts_pct_by_team_travel_distance,0.0002579239907593984,0.0006740669260601541
advanced_3par_by_team_travel_distance,0.00025297199657684953,0.0005010633649949006
day_of_week_by_team_home_away,0.00023831101371575138,4.9141809016610325e-05
advanced_ortg_by_team_travel_distance,0.000219936319675748,0.00025717709209312326
travel_distance,0.00021050393359644517,0.0009979474356410691
day_of_week_by_team_travel_distance,0.00019387188625627467,0.00017225942808243389
travel_distance_by_team_day_of_week,0.00018001027842099782,0.00036989214859759975
median_score_against,0.00015789449681280677,0.00013041734937338728
month_by_team_day_of_week,0.00015572381286166884,0.0012564177741948537
advanced_blk_pct_by_team_day_of_week,0.00015036544965519756,0.0012488908385911328
advanced_ast_pct_by_team_home_away,0.00014594849923296605,4.906688013914372e-05
day_by_team_travel_distance,0.0001260953961741643,0.00012188695215506115
defensive_four_factors_efg_pct_by_team_home_away,0.00012399064871904513,4.314696148119132e-05
