Model,team_score_mae_min,team_score_mae_max,team_score_mae_mean,team_score_mae_median,opp_score_mae_min,opp_score_mae_max,opp_score_mae_mean,opp_score_mae_median
ATL,0.6899999999999977,12.629999999999995,4.792499999999997,3.4599999999999937,0.4200000000000017,12.049999999999997,4.122500000000002,3.7950000000000017
CHI,0.5600000000000023,3.260000000000005,1.8312499999999998,1.6599999999999966,0.0799999999999983,6.280000000000001,2.2500000000000018,2.0900000000000034
CON,0.35999999999999943,12.89,4.331250000000001,4.125,0.09999999999999432,8.939999999999998,3.1549999999999985,1.9849999999999994
DAL,1.2900000000000063,9.950000000000003,4.658750000000001,3.780000000000001,0.18000000000000682,6.450000000000003,3.115,3.2349999999999994
IND,2.200000000000003,10.370000000000005,5.475000000000001,5.25,0.37999999999999545,9.769999999999996,4.458749999999998,4.280000000000001
LAS,0.01999999999999602,6.760000000000005,3.6324999999999985,3.5349999999999966,0.9099999999999966,7.140000000000001,2.66625,1.7800000000000011
LVA,0.769999999999996,10.680000000000007,4.73875,4.07,0.15000000000000568,5.450000000000003,3.3937500000000007,3.7049999999999983
League,0.01999999999999602,26.790000000000006,4.1046875,3.625,0.030000000000001137,23.89,4.066979166666667,3.2950000000000017
MIN,0.060000000000002274,10.099999999999994,3.21875,2.9100000000000037,0.23000000000000398,5.530000000000001,2.4350000000000014,2.375
NYL,0.20000000000000284,6.180000000000007,2.6537500000000023,2.549999999999997,1.3900000000000006,4.950000000000003,2.6312500000000014,2.0549999999999997
PHO,0.8499999999999943,13.739999999999995,5.0275,3.469999999999999,0.3499999999999943,15.150000000000006,5.553750000000001,3.010000000000005
SEA,0.28000000000000114,9.120000000000005,3.5150000000000006,2.309999999999995,0.21999999999999886,11.780000000000001,4.7925,3.5649999999999977
WAS,2.1899999999999977,8.89,4.566250000000002,3.8700000000000045,0.769999999999996,10.150000000000006,3.7262500000000003,3.0450000000000017
