feature,team_score_importance,opp_score_importance
advanced_ortg,0.5123956432640915,0.005934812518053818
advanced_ts_pct,0.2641783949306344,0.0021022667023780778
team_vs_opp_homeaway_median_score,0.09399542835546669,0.0051489069812837174
team_vs_opp_median_score,0.027049804209539202,0.004712007071115667
advanced_trb_pct,0.005290899423060818,0.0030768803488002107
offensive_four_factors_tov_pct,0.004751156518273438,0.0014304595654246548
advanced_blk_pct,0.0047399819008912365,0.0009854374155449934
offensive_four_factors_orb_pct_by_team_day_of_week,0.0045347059119637415,0.0003420265560045507
advanced_3par,0.004345092837690991,0.003157694732095415
advanced_pace,0.003984827210891986,0.006584774970778816
opponent_3p_pct,0.003909998507701943,0.0025526149123461365
advanced_ftr,0.0037103712081178577,0.0010426936635139817
defensive_four_factors_drb_pct,0.003215626998913544,0.0014027187520826998
day,0.002813480859328525,0.0027507840999850507
day_by_team_day_of_week,0.0027512515638834748,0.002008930825862979
advanced_stl_pct,0.0026514607473378973,0.003342423209536443
opponent_ft_pct,0.0026508241514130258,0.009053176386994747
advanced_ast_pct_by_team_day_of_week,0.0025088731647951393,0.00047308432199965505
offensive_four_factors_orb_pct,0.002236152340660701,0.002824221931207333
defensive_four_factors_efg_pct,0.0022133268204940003,0.028570230799175478
team_vs_opp_median_score_by_team_day_of_week,0.0020446678653768965,0.0006676322016259327
defensive_four_factors_tov_pct_by_team_home_away,0.0019374299968819265,2.5269541778975748e-06
advanced_pace_by_team_day_of_week,0.0017280459751267212,0.0011275610058193327
median_score_against_by_team_home_away,0.001722789647880167,3.042439656296629e-06
defensive_four_factors_tov_pct,0.0017223183023123473,0.0063348245757526
advanced_blk_pct_by_team_home_away,0.0016206217608650013,4.831785963859548e-05
team_ft_pct,0.0015594161915201475,0.00490343662039635
month_by_team_day_of_week,0.0014484067612905115,0.015393117044435491
advanced_drtg,0.0014310346816136497,0.8226712061122223
advanced_ast_pct,0.0013755480902115575,0.00158383606082006
advanced_drtg_by_team_travel_distance,0.0013436662493881665,9.217164217843815e-05
offensive_four_factors_tov_pct_by_team_home_away,0.001187248308498511,7.562059327583256e-06
defensive_four_factors_ft_per_fga_by_team_home_away,0.001150573934022692,0.0001135722418859937
day_by_team_home_away,0.0010902267643253377,3.060547231438274e-05
defensive_four_factors_tov_pct_by_team_travel_distance,0.00107878050468265,0.0004150307700063472
offensive_four_factors_ft_per_fga_by_team_home_away,0.0010051861064117767,0.0
median_score_against,0.000969569414331274,0.00045186941071361924
win_loss,0.0009304392069462163,0.00040187147350055174
defensive_four_factors_ft_per_fga,0.0009251322401111076,0.0011829492896157368
team_3p_pct,0.0008860448873161881,0.008292414326594593
opponent_fg_pct,0.0008385142194351129,0.01868498872485805
month,0.0008083893632763711,0.006878457733829009
advanced_3par_by_team_travel_distance,0.0007910225853870003,5.124722850773641e-05
advanced_drtg_by_team_home_away,0.0007767078395230377,1.8624813695951994e-05
defensive_four_factors_drb_pct_by_team_home_away,0.0007091238948181591,1.3617522685906464e-05
advanced_pace_by_team_travel_distance,0.0006640290862032629,4.0103411204605575e-05
advanced_3par_by_team_home_away,0.000653674287705881,3.821756046356016e-05
advanced_stl_pct_by_team_home_away,0.0006293405499318592,7.425115493687017e-05
advanced_ast_pct_by_team_home_away,0.0005951932326029844,5.9281783427156105e-05
defensive_four_factors_efg_pct_by_team_day_of_week,0.0005701319138186496,0.0009439190307106158
home_away,0.000567654114559231,5.774539821647387e-05
advanced_ts_pct_by_team_travel_distance,0.0005108859286108595,0.00022076138642096154
team_home_or_away_median_score,0.0005030439910159121,1.2505016628745311e-05
advanced_3par_by_team_day_of_week,0.00046167079943768274,0.002407129462550902
day_of_week,0.0004080766512440532,4.8873533611466026e-05
offensive_four_factors_ft_per_fga_by_team_travel_distance,0.00040460994776721194,0.00019278942935723983
defensive_four_factors_drb_pct_by_team_travel_distance,0.00037380531571092166,0.00015635489726516556
defensive_four_factors_efg_pct_by_team_travel_distance,0.0003553162537483596,0.0002662884061540975
team_day_median_allowed_by_team_travel_distance,0.00033341036935080447,9.458385931918574e-05
advanced_trb_pct_by_team_home_away,0.0003325941038655746,7.387735910776452e-06
median_score_for,0.000314288393383913,0.00022611677071704634
median_score_against_by_team_day_of_week,0.00029876311229104393,0.0005482797369571723
advanced_ast_pct_by_team_travel_distance,0.0002972308052656202,7.933356406115885e-05
advanced_ftr_by_team_home_away,0.0002936812037254148,3.02415665733e-05
travel_distance_by_team_home_away,0.00028987677484374906,2.1800509867936925e-05
team_vs_opp_median_score_by_team_travel_distance,0.00028314333820137676,2.672544984304547e-05
offensive_four_factors_orb_pct_by_team_travel_distance,0.00027692168004358206,0.00016494699796763365
defensive_four_factors_ft_per_fga_by_team_travel_distance,0.0002728819786137501,0.0003520245026308242
advanced_ftr_by_team_travel_distance,0.0002648347261640766,8.086554362408656e-05
offensive_four_factors_orb_pct_by_team_home_away,0.0002539739014628231,7.109983352009465e-06
