Model,team_score_mae_min,team_score_mae_max,team_score_mae_mean,team_score_mae_median,opp_score_mae_min,opp_score_mae_max,opp_score_mae_mean,opp_score_mae_median
ATL,1.2099999999999937,14.36,6.299999999999997,5.109999999999999,0.030000000000001137,8.719999999999999,4.998750000000001,5.255000000000003
CHI,1.6899999999999977,5.840000000000003,3.455,2.8100000000000023,0.730000000000004,7.299999999999997,2.8762500000000006,2.664999999999999
CON,0.6500000000000057,8.620000000000005,4.3375,4.174999999999997,0.14000000000000057,8.870000000000005,3.227500000000001,2.3200000000000003
DAL,0.23999999999999488,3.4200000000000017,1.6237499999999976,1.5849999999999937,0.18999999999999773,5.769999999999996,2.18375,1.0
IND,0.730000000000004,8.379999999999995,2.59375,1.8599999999999994,0.519999999999996,9.370000000000005,3.32625,2.8500000000000014
LAS,0.4099999999999966,7.489999999999995,3.598750000000001,3.3049999999999997,0.7099999999999937,5.849999999999994,2.348749999999999,2.1950000000000003
LVA,0.730000000000004,8.629999999999995,3.8200000000000003,3.280000000000001,1.8199999999999932,10.599999999999994,5.212499999999999,4.93
League,0.01999999999999602,20.060000000000002,2.0994791666666663,1.2650000000000006,0.010000000000005116,19.790000000000006,1.8322916666666667,0.9949999999999974
MIN,0.7199999999999989,10.5,4.70125,4.074999999999996,1.2399999999999949,10.400000000000006,3.37,2.66
NYL,0.21999999999999886,4.409999999999997,1.0987499999999972,0.6149999999999949,0.3199999999999932,5.299999999999997,2.0687499999999996,1.7850000000000037
PHO,0.3199999999999932,9.989999999999995,3.6237499999999976,1.5500000000000043,1.7900000000000063,15.39,8.895000000000001,9.600000000000001
SEA,1.0400000000000063,6.969999999999999,3.0000000000000036,2.565000000000005,1.3900000000000006,7.019999999999996,4.3025,4.170000000000002
WAS,1.6500000000000057,9.079999999999998,4.623749999999999,3.7049999999999983,0.5699999999999932,7.439999999999998,4.473749999999999,4.714999999999996
