feature,team_score_importance,opp_score_importance
advanced_ortg,0.49353075715456923,0.005980158348552601
advanced_ts_pct,0.15263785288066012,0.001479508056475672
team_ft_pct,0.06298169845932422,0.0036099008861676103
advanced_pace,0.041422508153630536,0.009077628762594252
team_vs_opp_homeaway_median_score,0.021832041898760028,0.0008800630546739205
advanced_ftr,0.019919957978490797,0.008708954487739153
team_3p_pct,0.017899784477610016,0.004929161404786133
offensive_four_factors_orb_pct,0.015177946001072008,0.0014181587344013276
month,0.012405798102637932,0.00032862078452287674
team_vs_opp_median_score,0.011710588334197818,0.008893641378956107
defensive_four_factors_tov_pct,0.010951141782848619,0.00997596080366452
team_day_median_allowed,0.009998439312668866,0.00047958392473224147
defensive_four_factors_drb_pct,0.009869507300318691,0.005394353568771998
opponent_ft_pct,0.009814778348524782,0.005590628798796856
advanced_3par,0.007838692947620287,0.0014833808539527259
advanced_ts_pct_by_team_day_of_week,0.007503373752812682,0.0008513110375184519
advanced_blk_pct,0.0074737026413163295,0.0028759801689471546
advanced_stl_pct,0.007165996494931224,0.01762172103108026
opponent_3p_pct,0.006269099974405642,0.010170212177463318
offensive_four_factors_tov_pct,0.006191122321662554,0.011953165770786606
team_day_median_score,0.005350783723846504,0.0009672767842319095
offensive_four_factors_orb_pct_by_team_day_of_week,0.004507636519766356,0.0040544472239888146
offensive_four_factors_ft_per_fga_by_team_day_of_week,0.004474530329400421,0.005025535844987115
advanced_ortg_by_team_day_of_week,0.003400149077434589,0.000720193394849217
advanced_drtg,0.0030206715206875807,0.5937489345746283
advanced_blk_pct_by_team_day_of_week,0.002564062235966008,0.0005663805950300903
day,0.00242140835902572,0.017465375138288528
opponent_fg_pct,0.002411488642687958,0.05463802966264137
defensive_four_factors_ft_per_fga,0.0023513466428712253,0.006628575607187287
advanced_drtg_by_team_day_of_week,0.0022141746193280066,0.0002097004367361638
defensive_four_factors_efg_pct,0.002184811971337818,0.11195724995169541
median_score_for_by_team_day_of_week,0.0019499003621367098,0.00023236119030296018
advanced_trb_pct,0.0018552922629694422,0.006668062623258036
defensive_four_factors_ft_per_fga_by_team_day_of_week,0.0018306962622663043,0.004043086107185222
advanced_ast_pct,0.0013859937761612443,0.034778971776046726
day_of_week,0.0013470357039562656,0.005148525652323946
team_vs_opp_median_score_by_team_day_of_week,0.001308390959317244,0.0007576261460486099
team_day_median_allowed_by_team_travel_distance,0.0013032655859075068,0.0001555663170384143
advanced_pace_by_team_day_of_week,0.0012670216695900977,0.004306975643580197
home_away_by_team_day_of_week,0.0009018277203467137,0.0001243661168903206
advanced_ftr_by_team_day_of_week,0.0008587485952531354,0.002648675214354193
advanced_drtg_by_team_travel_distance,0.000819334115785373,0.0010688462636552403
advanced_pace_by_team_travel_distance,0.0007869817701798041,0.0004007008191560819
advanced_trb_pct_by_team_travel_distance,0.0007151876482528266,0.00013893824188569007
defensive_four_factors_drb_pct_by_team_travel_distance,0.0007047315083550536,0.0001298012728046149
advanced_ortg_by_team_home_away,0.0006188823686740412,3.359326760808203e-05
defensive_four_factors_tov_pct_by_team_travel_distance,0.0005855906154699464,0.00028036040901901327
offensive_four_factors_orb_pct_by_team_travel_distance,0.0005765617377126884,0.00047003128158155526
advanced_3par_by_team_travel_distance,0.0005718335331180228,0.00029589986851566127
advanced_ast_pct_by_team_day_of_week,0.0005591407276336313,0.001124489851724679
advanced_ts_pct_by_team_travel_distance,0.0005491753563845955,0.00020811868291497316
offensive_four_factors_ft_per_fga_by_team_travel_distance,0.0005371870507218224,6.242147461753342e-05
advanced_stl_pct_by_team_day_of_week,0.0005059308038513968,0.0037251277838983472
defensive_four_factors_ft_per_fga_by_team_home_away,0.000454672078671027,2.169395183108779e-05
team_home_or_away_median_score,0.0004323477861521411,0.00024130400542845328
travel_distance_by_team_home_away,0.0004278803309643328,1.928411031794888e-05
offensive_four_factors_tov_pct_by_team_travel_distance,0.00039778374882946477,9.211582502440782e-05
advanced_stl_pct_by_team_travel_distance,0.00039673816805142255,0.00011622091304716731
team_home_or_away_median_score_by_team_day_of_week,0.0003595237564930529,0.0002994500018075999
defensive_four_factors_tov_pct_by_team_home_away,0.00034792361510350734,0.00021003365223850478
advanced_ortg_by_team_travel_distance,0.00034086373524590263,0.0005384433939785554
offensive_four_factors_tov_pct_by_team_day_of_week,0.0003009894926579033,0.0010896248164218737
defensive_four_factors_drb_pct_by_team_day_of_week,0.0002964846461250259,0.00017945483979785867
median_score_for,0.00029392986709728943,0.00030553401623291973
defensive_four_factors_efg_pct_by_team_travel_distance,0.00029266513604360743,0.0005992603203333989
advanced_blk_pct_by_team_home_away,0.00028572618746907014,6.539599278223073e-05
advanced_3par_by_team_day_of_week,0.0002720385827305476,0.003863012534789813
team_vs_opp_median_score_by_team_travel_distance,0.00026943134503890293,0.00016035297460342108
team_vs_opp_median_score_by_team_home_away,0.00026925185962705365,0.00013938116320816527
win_loss_by_team_day_of_week,0.0002689625888861055,7.115761345358387e-05
median_score_against_by_team_day_of_week,0.0002625623472512103,0.0
advanced_trb_pct_by_team_day_of_week,0.00024590568804332407,0.0009294073236436821
advanced_blk_pct_by_team_travel_distance,0.0002430572134501166,0.00014797522205131335
advanced_stl_pct_by_team_home_away,0.0002367647757771827,2.67627491100762e-05
team_vs_opp_homeaway_median_score_by_team_travel_distance,0.0002343389892171153,0.00019167150754108696
advanced_ftr_by_team_home_away,0.00023235971930646846,0.00016119771087491836
advanced_trb_pct_by_team_home_away,0.0002240414415765297,7.006420359168973e-05
