Model,Feature,Target,Importance
LAS,Arike Ogunbowale,team_score,0.0
LAS,Arike Ogunbowale,opp_score,0.0
LAS,Breanna Stewart,team_score,0.0
LAS,Breanna Stewart,opp_score,0.0
LAS,Bridget Carleton,team_score,0.0
LAS,Bridget Carleton,opp_score,0.0
LAS,Brionna Jones,team_score,0.0
IND,Myisha Hines-Allen,opp_score,0.0
LAS,Brittney Griner,team_score,0.0
LAS,Brittney Griner,opp_score,0.0
LAS,Caitlin Clark,team_score,0.0
LAS,Caitlin Clark,opp_score,0.0
LAS,Chelsea Gray,team_score,0.0
LAS,Chelsea Gray,opp_score,0.0
PHO,Marina Mabrey,opp_score,0.0
MIN,Kamilla Cardoso,team_score,0.0
PHO,Myisha Hines-Allen,team_score,0.0
SEA,Diana Taurasi,opp_score,0.0
SEA,Alanna Smith,team_score,0.0
SEA,Alanna Smith,opp_score,0.0
SEA,Aliyah Boston,team_score,0.0
SEA,Cheyenne Parker-Tyus,team_score,0.0
SEA,Cheyenne Parker-Tyus,opp_score,0.0
SEA,DeWanna Bonner,team_score,0.0
SEA,DeWanna Bonner,opp_score,0.0
SEA,Dearica Hamby,team_score,0.0
SEA,Dearica Hamby,opp_score,0.0
SEA,Diana Taurasi,team_score,0.0
SEA,Aari McDonald,opp_score,0.0
SEA,Elizabeth Williams,team_score,0.0
SEA,Elizabeth Williams,opp_score,0.0
SEA,Jackie Young,team_score,0.0
SEA,Arike Ogunbowale,opp_score,0.0
SEA,Azura Stevens,team_score,0.0
SEA,Azura Stevens,opp_score,0.0
SEA,Breanna Stewart,team_score,0.0
SEA,Breanna Stewart,opp_score,0.0
SEA,Jonquel Jones,opp_score,0.0
SEA,Brionna Jones,team_score,0.0
SEA,Ariel Atkins,team_score,0.0
SEA,Ariel Atkins,opp_score,0.0
SEA,Arike Ogunbowale,team_score,0.0
IND,A'ja Wilson,opp_score,0.0
IND,Aaliyah Edwards,team_score,0.0
IND,Aaliyah Edwards,opp_score,0.0
IND,Aari McDonald,team_score,0.0
SEA,Bridget Carleton,team_score,0.0
SEA,Bridget Carleton,opp_score,0.0
MIN,Kahleah Copper,opp_score,0.0
SEA,Brionna Jones,opp_score,0.0
SEA,Brittney Griner,team_score,0.0
SEA,Brittney Griner,opp_score,0.0
SEA,Caitlin Clark,team_score,0.0
SEA,Caitlin Clark,opp_score,0.0
SEA,Cameron Brink,team_score,0.0
SEA,Cameron Brink,opp_score,0.0
SEA,Chelsea Gray,team_score,0.0
IND,A'ja Wilson,team_score,0.0
DAL,NaLyssa Smith,team_score,0.0
DAL,Stefanie Dolson,team_score,0.0
DAL,Stefanie Dolson,opp_score,0.0
DAL,Teaira McCowan,team_score,0.0
DAL,Temi Fagbenle,team_score,0.0
DAL,Temi Fagbenle,opp_score,0.0
DAL,Tina Charles,team_score,0.0
DAL,Tina Charles,opp_score,0.0
SEA,Jackie Young,opp_score,0.0
SEA,Jonquel Jones,team_score,0.0
DAL,Sophie Cunningham,opp_score,0.0
DAL,NaLyssa Smith,opp_score,0.0
DAL,Napheesa Collier,team_score,0.0
DAL,Napheesa Collier,opp_score,0.0
DAL,Naz Hillmon,team_score,0.0
DAL,Naz Hillmon,opp_score,0.0
DAL,Nneka Ogwumike,team_score,0.0
DAL,Nneka Ogwumike,opp_score,0.0
DAL,Rebecca Allen,opp_score,0.0
DAL,Rhyne Howard,team_score,0.0
SEA,Kelsey Plum,opp_score,0.0
SEA,Kahleah Copper,team_score,0.0
SEA,Kahleah Copper,opp_score,0.0
SEA,Kamilla Cardoso,team_score,0.0
SEA,Kamilla Cardoso,opp_score,0.0
SEA,Kayla McBride,team_score,0.0
SEA,Kayla McBride,opp_score,0.0
SEA,Kelsey Mitchell,team_score,0.0
SEA,Kelsey Mitchell,opp_score,0.0
SEA,Kelsey Plum,team_score,0.0
SEA,Angel Reese,opp_score,0.0
SEA,Kiah Stokes,team_score,0.0
SEA,Chelsea Gray,opp_score,0.0
SEA,Chennedy Carter,team_score,0.0
SEA,Chennedy Carter,opp_score,0.0
DAL,Shatori Walker-Kimbrough,team_score,0.0
DAL,Shatori Walker-Kimbrough,opp_score,0.0
DAL,Skylar Diggins-Smith,team_score,0.0
DAL,Skylar Diggins-Smith,opp_score,0.0
DAL,Sophie Cunningham,team_score,0.0
IND,DeWanna Bonner,opp_score,0.0
IND,Kelsey Plum,team_score,0.0
IND,Kelsey Plum,opp_score,0.0
IND,Kiah Stokes,team_score,0.0
IND,Chelsea Gray,opp_score,0.0
IND,Chennedy Carter,team_score,0.0
IND,Chennedy Carter,opp_score,0.0
IND,Cheyenne Parker-Tyus,team_score,0.0
IND,Cheyenne Parker-Tyus,opp_score,0.0
