feature,team_score_importance,opp_score_importance
advanced_ortg,0.5788846635271886,0.008019176259507778
advanced_ts_pct,0.16018043741757443,0.005642894907279594
team_vs_opp_homeaway_median_score,0.09794748159165718,0.007747544569114196
advanced_trb_pct,0.013722688405126048,0.009715147724008564
team_vs_opp_median_score,0.010417647583264411,0.010627830418232185
advanced_drtg,0.009755654155724177,0.5686231246347958
offensive_four_factors_tov_pct,0.009360082192855314,0.001125656779427398
opponent_3p_pct,0.0078095124324912505,0.05260689511683481
offensive_four_factors_orb_pct,0.0075189660011978415,0.010717701456680698
defensive_four_factors_efg_pct,0.006993201674985396,0.13143964552446274
advanced_blk_pct,0.006549347815986376,0.009817562059873056
team_3p_pct,0.005609490829381652,0.006028410079222701
advanced_stl_pct,0.005179346278989534,0.00448261004672553
month,0.0037182397683879816,0.0038516437504906064
defensive_four_factors_drb_pct,0.0034245162760494752,0.0028275577329960376
defensive_four_factors_efg_pct_by_team_day_of_week,0.0032195164352145393,0.0010245557637330802
advanced_3par,0.003206513035356574,0.0214830806116506
defensive_four_factors_efg_pct_by_team_travel_distance,0.002754789857152705,0.0009905453716808773
defensive_four_factors_ft_per_fga,0.002597212693176261,0.002170554726028115
home_away_by_team_day_of_week,0.002479682615580985,0.001866774355258018
opponent_fg_pct,0.0024315397322523745,0.011653536682355014
day,0.002416992439680706,0.004738438530123651
advanced_ortg_by_team_home_away,0.002301051209323999,8.436225383513389e-05
advanced_3par_by_team_day_of_week,0.002221427814586927,0.0026985306128728234
advanced_drtg_by_team_day_of_week,0.0020517148349309114,0.0041812541048558615
day_by_team_day_of_week,0.0020099983620792024,0.0016405568157472018
day_of_week,0.0019729215671568847,0.001263050396085473
advanced_pace_by_team_day_of_week,0.0018982710955179564,0.0011758194783667675
advanced_ast_pct_by_team_day_of_week,0.001845769081839432,0.004201302285697069
travel_distance_by_team_day_of_week,0.0017188162974524836,0.009042612193464935
team_ft_pct,0.001617997621756047,0.004683394267627838
advanced_blk_pct_by_team_day_of_week,0.0015779535745979643,0.00027925633783870826
defensive_four_factors_tov_pct,0.0015112650488485397,0.005772951093082101
advanced_pace,0.0014127880950056322,0.004466371989449755
advanced_ast_pct,0.0012983939437548535,0.003881214327905068
